,Id,Period,Time,Type,Goal,Assist,Season
1,151313,1. část,05:32,-,17 Jakub Hruška,9 Jakub Klement,2015/2016
2,151313,1. část,06:49,-,97 Ondřej Zeman,17 Jakub Hruška,2015/2016
3,151313,2. část,01:45,-,15 Vojtěch Brávek,18 Michal Šíma,2015/2016
4,151313,2. část,07:23,-,9 Jakub Klement,97 Ondřej Zeman,2015/2016
5,151313,3. část,01:06,-,9 Jakub Klement,97 Ondřej Zeman,2015/2016
0,153302,3. část,01:26,-,77 Daniel Klugar,97 Ondřej Zeman,2015/2016
1,153302,3. část,09:01,-,6 Tomáš Weisser,,2015/2016
2,153302,3. část,10:28,-,97 Ondřej Zeman,17 Jakub Hruška,2015/2016
0,153426,1. část,00:53,OG,2 Petr Kohout,,2015/2016
1,153426,1. část,02:21,-,97 Ondřej Zeman,17 Jakub Hruška,2015/2016
2,153426,3. část,01:20,-,17 Jakub Hruška,97 Ondřej Zeman,2015/2016
3,153426,3. část,03:38,-,9 Jakub Klement,97 Ondřej Zeman,2015/2016
4,153426,3. část,05:59,-,73 Kryštof Hoch,9 Jakub Klement,2015/2016
5,153426,3. část,08:17,-,9 Jakub Klement,97 Ondřej Zeman,2015/2016
0,155310,1. část,05:00,PP,69 Max Horn,7 Martin Bukovič,2015/2016
1,155310,1. část,06:09,-,11 Filip Terč,4 Stanislav Kodet,2015/2016
2,155310,1. část,11:58,-,7 Martin Bukovič,25 Vojtěch Brávek,2015/2016
3,155310,2. část,01:14,-,97 Ondřej Zeman,4 Stanislav Kodet,2015/2016
4,155310,2. část,07:04,-,73 Kryštof Hoch,69 Max Horn,2015/2016
5,155310,3. část,00:49,PP,11 Filip Terč,97 Ondřej Zeman,2015/2016
0,155930,1. část,03:18,-,97 Ondřej Zeman,,2015/2016
1,155930,1. část,04:30,-,17 Jakub Hruška,,2015/2016
2,155930,1. část,07:47,-,15 Vojtěch Brávek,,2015/2016
3,155930,2. část,01:40,SH,97 Ondřej Zeman,73 Kryštof Hoch,2015/2016
4,155930,2. část,06:13,-,73 Kryštof Hoch,9 Jakub Klement,2015/2016
5,155930,2. část,07:49,-,4 Stanislav Kodet,15 Vojtěch Brávek,2015/2016
6,155930,3. část,08:39,-,69 Max Horn,73 Kryštof Hoch,2015/2016
0,158160,1. část,02:21,-,18 Michal Šíma,,2016/2017
1,158160,2. část,11:35,-,18 Michal Šíma,,2016/2017
0,158165,3. část,00:48,-,77 Daniel Klugar,9 Jakub Klement,2016/2017
1,158165,3. část,11:18,-,97 Ondřej Zeman,15 Vojtěch Brávek,2016/2017
2,158165,3. část,11:34,-,97 Ondřej Zeman,,2016/2017
0,160696,1. část,03:28,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
1,160696,1. část,08:32,-,97 Ondřej Zeman,17 Jakub Hruška,2016/2017
2,160696,1. část,09:47,PP,4 Stanislav Kodet,9 Jakub Klement,2016/2017
3,160696,2. část,01:07,-,97 Ondřej Zeman,,2016/2017
4,160696,2. část,05:10,-,9 Jakub Klement,,2016/2017
5,160696,2. část,09:03,PP,97 Ondřej Zeman,9 Jakub Klement,2016/2017
6,160696,2. část,10:42,-,17 Jakub Hruška,18 Michal Šíma,2016/2017
7,160696,3. část,04:56,-,15 Vojtěch Brávek,,2016/2017
8,160696,3. část,11:20,-,18 Michal Šíma,,2016/2017
0,165178,1. část,10:58,-,9 Jakub Klement,7 Martin Bukovič,2016/2017
1,165178,3. část,07:55,-,97 Ondřej Zeman,1 Josef Kopecký,2016/2017
0,167687,2. část,08:24,-,73 Kryštof Hoch,,2016/2017
1,167687,2. část,09:10,-,18 Michal Šíma,,2016/2017
2,167687,2. část,10:07,-,17 Jakub Hruška,,2016/2017
0,167690,2. část,03:50,-,73 Kryštof Hoch,33 Štěpán Kalina,2016/2017
1,167690,2. část,10:23,-,18 Michal Šíma,77 Daniel Klugar,2016/2017
2,167690,2. část,11:20,-,17 Jakub Hruška,97 Ondřej Zeman,2016/2017
3,167690,2. část,11:35,-,18 Michal Šíma,22 Filip Terč,2016/2017
4,167690,3. část,03:48,-,33 Štěpán Kalina,,2016/2017
0,170888,1. část,05:27,-,15 Vojtěch Brávek,,2016/2017
1,170888,1. část,06:59,-,9 Jakub Klement,17 Jakub Hruška,2016/2017
2,170888,1. část,08:46,-,15 Vojtěch Brávek,97 Ondřej Zeman,2016/2017
