,Id,Period,Time,Type,Goal,Assist,Season
3,142369,2. část,06:18,-,7 Zbyněk Prokšan,19 Bohuslav Novák,2015/2016
4,142369,2. část,08:42,-,19 Bohuslav Novák,89 Milan Vřešťál,2015/2016
5,142369,2. část,09:18,-,7 Zbyněk Prokšan,19 Bohuslav Novák,2015/2016
6,142369,3. část,07:46,-,44 Michal Nechanický,7 Zbyněk Prokšan,2015/2016
7,142369,3. část,08:13,-,98 Matěj Soukup,19 Bohuslav Novák,2015/2016
8,142369,3. část,10:34,-,7 Zbyněk Prokšan,44 Michal Nechanický,2015/2016
0,142372,1. část,11:24,-,11 Josef Kučera,15 Jan Kaňka,2015/2016
1,142372,2. část,09:17,-,68 Marek Frey,15 Jan Kaňka,2015/2016
2,142372,3. část,02:36,-,88 Marek Kuneš,11 Josef Kučera,2015/2016
0,144132,1. část,03:33,-,16 Radim Onderka,21 Marek Toráč,2015/2016
1,144132,1. část,07:08,-,16 Radim Onderka,,2015/2016
2,144132,1. část,07:30,-,16 Radim Onderka,15 Jiří Hrabár,2015/2016
3,144132,1. část,10:05,OG,4 Stanislav Kodet,,2015/2016
4,144132,2. část,11:55,-,16 Radim Onderka,39 Pavel Hejna,2015/2016
5,144132,3. část,04:59,-,15 Jiří Hrabár,21 Marek Toráč,2015/2016
0,144134,1. část,02:32,-,7 Lukáš Rusanov,81 Karel Němec,2015/2016
1,144134,1. část,10:26,-,2 Vítek Moučka,,2015/2016
2,144134,1. část,10:58,-,38 Ondřej Hodan,81 Karel Němec,2015/2016
3,144134,2. část,01:14,PP,38 Ondřej Hodan,23 Alexandr Mostýn,2015/2016
4,144134,2. část,02:52,PP,2 Vítek Moučka,7 Lukáš Rusanov,2015/2016
5,144134,2. část,05:58,PP,23 Alexandr Mostýn,7 Lukáš Rusanov,2015/2016
6,144134,3. část,07:03,PP,23 Alexandr Mostýn,2 Vítek Moučka,2015/2016
0,145416,1. část,00:50,-,8 Ondřej Šafář,27 Michal Vondra,2015/2016
1,145416,2. část,00:11,-,2 Ivo Bárta,8 Ondřej Šafář,2015/2016
2,145416,2. část,11:34,-,13 Tomáš Badin,,2015/2016
0,145419,1. část,04:18,-,13 Marek Häusler,,2015/2016
1,145419,1. část,04:52,-,99 Tomáš Hruška,77 Petr Brtek,2015/2016
2,145419,1. část,10:07,-,79 Tomáš Karbusický,9 Jan Vítkovský,2015/2016
3,145419,2. část,00:35,-,4 Pavel Cichra,7 Pavel Špirit,2015/2016
4,145419,2. část,04:10,-,76 Jiří Machala,4 Pavel Cichra,2015/2016
5,145419,2. část,11:29,-,7 Pavel Špirit,77 Petr Brtek,2015/2016
6,145419,3. část,06:05,-,99 Tomáš Hruška,69 Juraj Michajlov,2015/2016
7,145419,3. část,09:22,-,79 Tomáš Karbusický,13 Marek Häusler,2015/2016
0,148808,1. část,03:13,-,78 Lukáš Mendlík,,2015/2016
1,148808,1. část,06:44,-,13 Jan Lintymer,78 Lukáš Mendlík,2015/2016
2,148808,3. část,11:26,-,41 Zdeněk Hromota,78 Lukáš Mendlík,2015/2016
3,148808,3. část,11:41,-,2 Petr Rosička,78 Lukáš Mendlík,2015/2016
0,148818,3. část,06:01,-,24 Petr Sváda,68 Tadeáš Bohatec,2015/2016
1,148818,3. část,11:37,-,24 Petr Sváda,68 Tadeáš Bohatec,2015/2016
0,151296,1. část,03:45,PS,13 Dominik Bouček,,2015/2016
1,151296,1. část,08:29,-,18 Jakub Dragoun,13 Dominik Bouček,2015/2016
2,151296,2. část,03:37,-,8 Marek Šíp,10 Jaroslav Šimek,2015/2016
3,151296,2. část,07:00,-,13 Dominik Bouček,7 Vojtěch Paul,2015/2016
4,151296,3. část,11:48,-,11 Tomáš Krejcárek,14 Michal Kolář,2015/2016
0,151313,1. část,08:34,-,98 Matěj Soukup,7 Zbyněk Prokšan,2015/2016
1,151313,2. část,02:45,-,89 Milan Vřešťál,6 Jiří Nekvasil,2015/2016
2,151313,2. část,08:14,-,67 Martin Bolech,98 Matěj Soukup,2015/2016
3,151313,2. část,10:29,-,9 Petr Paulus,7 Zbyněk Prokšan,2015/2016
4,151313,3. část,05:14,-,7 Zbyněk Prokšan,,2015/2016
5,151313,3. část,07:16,-,9 Petr Paulus,,2015/2016
6,151313,3. část,09:59,-,7 Zbyněk Prokšan,67 Martin Bolech,2015/2016
0,153302,1. část,05:29,-,81 Jakub Šíma,23 Jiří Neradil,2015/2016
1,153302,1. část,06:18,-,80 Stanislav Hejl,3 Michal Navrátil,2015/2016
2,153302,1. část,06:53,-,15 David Schneider,17 Jakub Neradil,2015/2016
3,153302,1. část,09:59,PS,81 Jakub Šíma,,2015/2016
4,153302,2. část,02:50,-,80 Stanislav Hejl,22 Jan Vršek,2015/2016
5,153302,2. část,02:59,-,15 David Schneider,17 Jakub Neradil,2015/2016
6,153302,2. část,08:14,-,81 Jakub Šíma,80 Stanislav Hejl,2015/2016
7,153302,2. část,10:38,-,22 Jan Vršek,23 Jiří Neradil,2015/2016
8,153302,2. část,11:50,-,17 Jakub Neradil,9 Tomáš Ostravský,2015/2016
9,153302,3. část,08:31,-,81 Jakub Šíma,15 David Schneider,2015/2016
0,153426,1. část,01:30,-,32 Petr Kaša,14 Tomáš Kriebel,2015/2016
1,153426,1. část,11:30,-,91 Michal Kuruc,,2015/2016
2,153426,2. část,02:17,-,91 Michal Kuruc,,2015/2016
3,153426,2. část,06:47,-,91 Michal Kuruc,11 David Haring,2015/2016
4,153426,3. část,05:12,-,68 Pavel Kohout,2 Petr Kohout,2015/2016
0,155310,2. část,04:44,-,21 Marek Toráč,,2015/2016
1,155310,3. část,01:34,-,87 Jiří Nekvinda,,2015/2016
2,155310,3. část,03:26,-,44 Martin Östereicher,,2015/2016
0,155930,1. část,04:25,-,94 Petr Chýle,90 Martin Hanek,2015/2016
1,155930,2. část,02:44,PP,77 Martin Chýle,73 Jakub Hokr,2015/2016
2,155930,2. část,08:10,-,75 Jakub Kaštánek,22 Bohuslav Bek,2015/2016
3,155930,3. část,11:54,-,44 Tomáš Svoboda,,2015/2016
0,158160,1. část,02:36,-,18 Jan Juklíček,9 Pavel Hušák,2016/2017
1,158160,1. část,05:50,-,8 Lukáš Vrba,14 Václav Babor,2016/2017
2,158160,1. část,06:39,-,9 Pavel Hušák,18 Jan Juklíček,2016/2017
3,158160,2. část,05:47,-,14 Václav Babor,,2016/2017
4,158160,2. část,06:15,-,18 Jan Juklíček,51 Michal Šmíd,2016/2017
5,158160,2. část,07:52,-,51 Michal Šmíd,18 Jan Juklíček,2016/2017
6,158160,3. část,01:03,-,51 Michal Šmíd,29 Jiří Bareš,2016/2017
7,158160,3. část,09:21,-,14 Václav Babor,,2016/2017
0,158165,1. část,01:58,-,36 Miroslav Šíp,72 Richard Mrázek,2016/2017
1,158165,1. část,05:39,-,36 Miroslav Šíp,72 Richard Mrázek,2016/2017
2,158165,1. část,06:12,-,46 Lukáš Frydrych,28 Jakub Malý,2016/2017
3,158165,2. část,08:14,-,28 Jakub Malý,33 Daniel Stránský,2016/2017
4,158165,2. část,10:14,-,99 Oldřich Pilecký,,2016/2017
5,158165,2. část,10:41,-,17 Jan Voříšek,43 Jakub Vrzák,2016/2017
6,158165,3. část,08:46,-,99 Oldřich Pilecký,33 Daniel Stránský,2016/2017
0,160490,1. část,08:01,-,96 David Musil,,2016/2017
1,160490,1. část,09:06,-,96 David Musil,11 Vít Novotný,2016/2017
2,160490,2. část,04:01,-,17 Jiří Novák,23 Ondřej Kulakowski,2016/2017
3,160490,2. část,08:04,-,96 David Musil,,2016/2017
4,160490,3. část,00:16,-,32 Jiří Müller,23 Ondřej Kulakowski,2016/2017
5,160490,3. část,06:54,-,32 Jiří Müller,23 Ondřej Kulakowski,2016/2017
6,160490,3. část,11:56,-,32 Jiří Müller,23 Ondřej Kulakowski,2016/2017
0,160696,2. část,07:04,-,16 Radim Onderka,23 Lukáš Žiga,2016/2017
0,165178,1. část,09:47,-,10 Miloš Zapadlo,14 Roman Žampach,2016/2017
1,165178,2. část,04:56,-,77 Ctibor Chmelař,87 Jakub Edr,2016/2017
2,165178,3. část,04:00,-,77 Ctibor Chmelař,12 Adam Bardún,2016/2017
0,165180,1. část,03:56,-,98 Jakub Sládek,11 Michael Tichý,2016/2017
1,165180,1. část,08:01,-,26 Tomáš Pažout,9 Josef Hájek,2016/2017
2,165180,1. část,08:10,-,22 Jan Flaška,98 Jakub Sládek,2016/2017
3,165180,2. část,03:09,-,9 Josef Hájek,22 Jan Flaška,2016/2017
4,165180,2. část,10:46,-,26 Tomáš Pažout,7 Sebastian Pech,2016/2017
0,167687,1. část,01:02,-,23 Matouš Vlasák,51 Michal Šmíd,2016/2017
1,167687,1. část,01:33,-,15 Jan Marek,,2016/2017
2,167687,1. část,05:44,-,14 Václav Babor,2 Jiří Mencl,2016/2017
3,167687,1. část,06:09,-,9 Pavel Hušák,23 Matouš Vlasák,2016/2017
4,167687,1. část,11:09,-,51 Michal Šmíd,88 Tomáš Hušák,2016/2017
5,167687,2. část,08:46,-,14 Václav Babor,2 Jiří Mencl,2016/2017
6,167687,2. část,10:29,-,18 Jan Juklíček,51 Michal Šmíd,2016/2017
7,167687,2. část,10:52,-,88 Tomáš Hušák,15 Jan Marek,2016/2017
8,167687,2. část,11:48,-,29 Jiří Bareš,23 Matouš Vlasák,2016/2017
9,167687,3. část,02:00,-,29 Jiří Bareš,51 Michal Šmíd,2016/2017
10,167687,3. část,09:20,SH,51 Michal Šmíd,9 Pavel Hušák,2016/2017
11,167687,3. část,11:34,-,14 Václav Babor,15 Jan Marek,2016/2017
0,167690,1. část,07:47,-,86 Václav Měchura,,2016/2017
1,167690,1. část,08:20,-,93 Tomáš Kupec,2 Milan Češek,2016/2017
2,167690,1. část,08:55,-,72 Jaroslav Soldán,,2016/2017
3,167690,2. část,08:24,-,86 Václav Měchura,25 Jakub Pražák,2016/2017
4,167690,3. část,09:30,-,25 Jakub Pražák,2 Milan Češek,2016/2017
0,170888,2. část,04:46,-,18 Jan Mikolášek,17 Stanislav Lepič,2016/2017
