,Id,Player,G,A,PTS,Season,Team_against,Team_for
11,136061,98 Jan Horyna (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
0,138158,3 Petr Jeništa (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
1,138158,6 Petr Burda (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
2,138158,7 Tomáš Ovčáčík (U),3,0,3,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
3,138158,8 Ondřej Šafář (U),0,2,2,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
4,138158,9 Jan Štička (U),1,1,2,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
5,138158,10 Miroslav Zbořilák (U),1,3,4,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
6,138158,13 Tomáš Badin (U),1,1,2,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
7,138158,17 Štěpán Ulver (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
8,138158,18 Jan Štorek (U),1,0,1,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
9,138158,25 Jan Bárta (U),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
10,138158,27 Michal Vondra (O),0,0,0,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
11,138158,49 Petr Veselý (U),1,0,1,2015/2016,FBC Penguins Praha,CRPA B Prague Amigos
0,138161,2 František Doležal (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
1,138161,4 Vojtěch Šrein (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
2,138161,5 Evžen Teringl (U),0,2,2,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
3,138161,6 Petr Veselý (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
4,138161,7 Roman Šebek (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
5,138161,8 Marek Šíp (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
6,138161,9 Vladimír Drnec (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
7,138161,10 Jaroslav Šimek (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
8,138161,11 Vít Bohata (U),1,1,2,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
9,138161,12 Jakub Brabec (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
10,138161,13 Dominik Bouček (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
11,138161,14 Michal Kolář (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
12,138161,18 Pavel Popek (U),1,0,1,2015/2016,FBC Penguins Praha,TJ Sokol Dobříš B
0,139413,7 Martin Libecajt (U),0,1,1,2015/2016,FBC Penguins Praha,FBC Atomovky
1,139413,9 Tomáš Ostravský (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Atomovky
2,139413,15 David Schneider (U),3,2,5,2015/2016,FBC Penguins Praha,FBC Atomovky
3,139413,17 Jakub Neradil (U),1,0,1,2015/2016,FBC Penguins Praha,FBC Atomovky
4,139413,20 Jan Hejcman (O),0,0,0,2015/2016,FBC Penguins Praha,FBC Atomovky
5,139413,22 Jan Vršek (U),3,0,3,2015/2016,FBC Penguins Praha,FBC Atomovky
6,139413,23 Jiří Neradil (U),1,2,3,2015/2016,FBC Penguins Praha,FBC Atomovky
7,139413,27 Štěpán Sládek (O),0,0,0,2015/2016,FBC Penguins Praha,FBC Atomovky
8,139413,81 Jakub Šíma (U),2,5,7,2015/2016,FBC Penguins Praha,FBC Atomovky
0,139432,13 Martin Hanek (U),0,2,2,2015/2016,FBC Penguins Praha,TJ Kyje
1,139432,19 Daniel Štráchal (U),2,0,2,2015/2016,FBC Penguins Praha,TJ Kyje
2,139432,21 Jiří Koutník (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Kyje
3,139432,22 Bohuslav Bek (U),0,0,0,2015/2016,FBC Penguins Praha,TJ Kyje
4,139432,44 Tomáš Svoboda (U),1,1,2,2015/2016,FBC Penguins Praha,TJ Kyje
5,139432,73 Jakub Hokr (U),0,1,1,2015/2016,FBC Penguins Praha,TJ Kyje
6,139432,75 Jakub Kaštánek (U),2,0,2,2015/2016,FBC Penguins Praha,TJ Kyje
7,139432,77 Martin Chýle (U),4,2,6,2015/2016,FBC Penguins Praha,TJ Kyje
8,139432,88 Tomáš Koudelka (U),0,2,2,2015/2016,FBC Penguins Praha,TJ Kyje
9,139432,94 Petr Chýle (U),3,3,6,2015/2016,FBC Penguins Praha,TJ Kyje
0,142369,6 Jiří Nekvasil (U),0,0,0,2015/2016,FBC Penguins Praha,Athletics Praha D
1,142369,7 Zbyněk Prokšan (U),4,1,5,2015/2016,FBC Penguins Praha,Athletics Praha D
2,142369,16 Marek Kolařík (U),0,1,1,2015/2016,FBC Penguins Praha,Athletics Praha D
3,142369,19 Bohuslav Novák (U),1,3,4,2015/2016,FBC Penguins Praha,Athletics Praha D
4,142369,30 Adam Kronberger (U),0,1,1,2015/2016,FBC Penguins Praha,Athletics Praha D
5,142369,44 Michal Nechanický (U),1,2,3,2015/2016,FBC Penguins Praha,Athletics Praha D
6,142369,48 Patrik Mesiereur (U),2,0,2,2015/2016,FBC Penguins Praha,Athletics Praha D
