,Id,Player,G,A,PTS,Season,Team_against,Team_for
4,225298,31 Tomáš Vrabec (U),0,0,0,2018/2019,FBC Mobydick Praha,FKMP Praha B
5,225298,33 Jan Vrabec (U),0,0,0,2018/2019,FBC Mobydick Praha,FKMP Praha B
6,225298,38 Jakub Reich (U),0,0,0,2018/2019,FBC Mobydick Praha,FKMP Praha B
7,225298,62 Martin Houdek (U),1,1,2,2018/2019,FBC Mobydick Praha,FKMP Praha B
0,225293,4 Patrik Púdelka (U),0,0,0,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
1,225293,7 Petr Kohout (U),0,0,0,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
2,225293,11 Adam Volánek (U),1,2,3,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
3,225293,12 Miroslav Matoušek (U),0,0,0,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
4,225293,13 Vítek Popov (U),1,0,1,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
5,225293,15 Vojtěch Hecl (O),0,0,0,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
6,225293,25 Jakub Šuťák (U),0,1,1,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
7,225293,33 Jan Handl (U),1,0,1,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
8,225293,87 Daniel Alfery (U),2,0,2,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
9,225293,93 Tomáš Kupec (U),0,2,2,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
10,225293,94 Daniel Holman (U),0,0,0,2018/2019,FBC Mobydick Praha,FBC Slavia Praha C
0,229876,4 Marek Ryba (O),0,1,1,2018/2019,FBC Mobydick Praha,FBC Hornets Praha B
1,229876,8 Tomáš Rázga (O),1,1,2,2018/2019,FBC Mobydick Praha,FBC Hornets Praha B
2,229876,10 Jan Pikous (O),0,0,0,2018/2019,FBC Mobydick Praha,FBC Hornets Praha B
3,229876,18 Radek Brunner (U),4,1,5,2018/2019,FBC Mobydick Praha,FBC Hornets Praha B
4,229876,21 David Hübner (U),0,0,0,2018/2019,FBC Mobydick Praha,FBC Hornets Praha B
5,229876,23 Jan Rázga (U),0,0,0,2018/2019,FBC Mobydick Praha,FBC Hornets Praha B
