,Id,Period,Time,Type,Goal,Assist,Season
5,242544,2. část,11:56,-,11 Tomáš Krejcárek,16 Vít Bohata,2018/2019
0,242540,1. část,00:43,-,11 Miroslav Čadský,,2018/2019
1,242540,2. část,11:13,-,4 Filip Kolařík,,2018/2019
2,242540,3. část,07:11,PP,13 Jiří Krbec,,2018/2019
3,242540,3. část,08:57,OG,1 Filip Vala,,2018/2019
0,244641,1. část,08:53,-,89 Jan Lovasz,2 Michal Lebeda,2018/2019
1,244641,2. část,00:15,-,2 Michal Lebeda,21 Jaroslav Rendla,2018/2019
2,244641,3. část,03:54,-,21 Jaroslav Rendla,92 Jiří Krotký,2018/2019
3,244641,3. část,04:27,OG,3 Aleš Martínek,,2018/2019
4,244641,3. část,05:10,-,7 Pavel Špirit,13 Marek Häusler,2018/2019
5,244641,3. část,07:10,-,99 Tomáš Hruška,21 Jaroslav Rendla,2018/2019
6,244641,3. část,11:59,OG,68 Jakub Kalfiřt,,2018/2019
0,244484,1. část,06:27,-,10 Martin Křížek,3 Martin Kopecký,2018/2019
1,244484,1. část,11:23,-,68 Viktor Čižmar,4 Martin Habart,2018/2019
0,245316,2. část,02:37,-,31 Tomáš Vrabec,18 Martin Červený,2018/2019
0,247361,1. část,02:12,-,66 Lukáš Müller,17 Stanislav Lepič,2018/2019
0,249569,3. část,02:29,-,15 Marek Tlučhoř,10 Jan Snížek,2018/2019
1,249569,3. část,03:27,SH,74 Erik Papež,,2018/2019
0,249565,1. část,11:03,-,41 Teodor Bodlák,30 David Sgall,2018/2019
1,249565,2. část,03:03,-,45 Vilém Bodlák,27 Tomáš Táborský,2018/2019
2,249565,3. část,08:39,-,45 Vilém Bodlák,41 Teodor Bodlák,2018/2019
0,222364,1. část,03:38,-,6 Michal Gajdušek,11 Ondřej Jilemnický,2018/2019
1,222364,2. část,09:17,PP,11 Ondřej Jilemnický,13 Pavel Šmatlák,2018/2019
2,222364,3. část,01:43,-,16 Ondřej Polínek,4 Tomáš Kameník,2018/2019
0,251696,3. část,07:47,-,19 Šimon Todorov,22 Zdeněk Jurák,2018/2019
1,251696,3. část,11:08,PP,68 Martin Koubík,22 Zdeněk Jurák,2018/2019
0,255295,1. část,02:14,-,15 David Schneider,,2019/2020
1,255295,1. část,03:01,-,15 David Schneider,16 Jaroslav Chalupný,2019/2020
2,255295,2. část,02:55,-,16 Jaroslav Chalupný,42 Michal Kárník,2019/2020
3,255295,2. část,08:03,-,42 Michal Kárník,79 Petr Hora,2019/2020
4,255295,3. část,11:58,EN,16 Jaroslav Chalupný,,2019/2020
0,257498,1. část,01:08,-,35 Michal Myšík,10 Zdeněk Burian,2019/2020
1,257498,1. část,07:18,-,35 Michal Myšík,6 Václav Skopový,2019/2020
2,257498,1. část,10:09,PS,35 Michal Myšík,,2019/2020
3,257498,2. část,08:51,-,17 Petr Káda,,2019/2020
4,257498,3. část,06:18,-,6 Václav Skopový,35 Michal Myšík,2019/2020
0,260191,1. část,10:31,-,61 Pavel Trbušek,8 Filip Weber,2019/2020
1,260191,3. část,10:59,-,61 Pavel Trbušek,22 Jakub Nováček,2019/2020
0,260184,1. část,10:50,-,73 Martin Denk,47 Petr Benedikt,2019/2020
1,260184,2. část,02:21,-,13 Jan Sysel,17 Petr Mencl,2019/2020
2,260184,3. část,00:36,-,89 David Volek,40 Tomáš Forejtek,2019/2020
3,260184,3. část,05:59,-,10 Jakub Mucha,35 Tomáš Ducháček,2019/2020
4,260184,3. část,06:26,-,75 Tomáš Drašnar,47 Petr Benedikt,2019/2020
5,260184,3. část,07:17,-,73 Martin Denk,,2019/2020
0,261992,1. část,08:33,-,59 Václav Kašpar,72 Pavel Bartůněk,2019/2020
0,266168,1. část,07:41,-,66 Petr Špaček,27 David Suchánek,2019/2020
1,266168,1. část,11:00,-,27 David Suchánek,12 Vladimír Labský,2019/2020
2,266168,2. část,03:49,PP,69 Jakub Mikeš,72 Luděk Hrouda,2019/2020
3,266168,3. část,03:23,-,28 Michael Rendl,27 David Suchánek,2019/2020
0,266163,1. část,07:57,-,21 Zdeněk Halamásek,,2019/2020
1,266163,2. část,02:47,-,4 Jaroslav Kotil,,2019/2020
2,266163,2. část,06:25,-,11 Martin Tučný,1 Ondřej Švanda,2019/2020
3,266163,3. část,08:20,-,24 Jan Görtler,12 Martin Roubíček,2019/2020
0,271018,2. část,00:15,-,21 Tomáš Zimmer,26 Petr Lhotka,2019/2020
1,271018,3. část,09:05,PP,66 Tomáš Lasek,10 Martin Laštovka,2019/2020
0,271013,1. část,05:38,-,23 Jiří Neradil,15 David Schneider,2019/2020
1,271013,2. část,01:08,-,22 Jan Vršek,15 David Schneider,2019/2020
2,271013,2. část,02:42,-,23 Jiří Neradil,16 Jaroslav Chalupný,2019/2020
3,271013,3. část,00:39,-,22 Jan Vršek,,2019/2020
4,271013,3. část,05:56,-,42 Michal Kárník,20 Jan Hejcman,2019/2020
5,271013,3. část,11:15,-,16 Jaroslav Chalupný,23 Jiří Neradil,2019/2020
6,271013,3. část,11:47,EN,42 Michal Kárník,79 Petr Hora,2019/2020
0,278196,2. část,06:38,-,19 Petr Novák,,2019/2020
1,278196,3. část,05:58,-,3 Jurij Dredenidov,84 Jakub Petříček,2019/2020
0,278193,1. část,03:48,-,10 Zdeněk Burian,42 Štěpán Pavelka,2019/2020
1,278193,1. část,04:30,-,17 Petr Káda,35 Michal Myšík,2019/2020
2,278193,1. část,05:55,-,28 Libor Vilímec,8 Tomáš Kružík,2019/2020
3,278193,2. část,00:53,-,8 Tomáš Kružík,17 Petr Káda,2019/2020
4,278193,2. část,01:37,-,35 Michal Myšík,7 Petr Dvořák,2019/2020
5,278193,2. část,02:27,-,10 Zdeněk Burian,35 Michal Myšík,2019/2020
6,278193,3. část,01:10,-,17 Petr Káda,7 Petr Dvořák,2019/2020
7,278193,3. část,03:54,-,28 Libor Vilímec,8 Tomáš Kružík,2019/2020
8,278193,3. část,10:15,-,28 Libor Vilímec,8 Tomáš Kružík,2019/2020
0,284100,1. část,00:33,-,15 David Schneider,71 Jakub Šíma,2020/2021
1,284100,2. část,01:29,-,16 Jaroslav Chalupný,38 David Bursík,2020/2021
2,284100,2. část,11:49,PP,71 Jakub Šíma,15 David Schneider,2020/2021
3,284100,3. část,04:28,PP,71 Jakub Šíma,42 Michal Kárník,2020/2021
4,284100,3. část,06:56,PP,15 David Schneider,71 Jakub Šíma,2020/2021
5,284100,3. část,08:05,-,71 Jakub Šíma,16 Jaroslav Chalupný,2020/2021
0,284104,1. část,03:00,-,14 Tomáš Leipner,18 Jan Mikolášek,2020/2021
1,284104,1. část,06:09,-,14 Tomáš Leipner,,2020/2021
2,284104,2. část,06:20,-,66 Lukáš Müller,4 Václav Müller,2020/2021
3,284104,3. část,10:16,PP,14 Tomáš Leipner,66 Lukáš Müller,2020/2021
0,286056,2. část,02:45,-,87 Jakub Šulc,91 Patrik Toulec,2020/2021
1,286056,3. část,07:30,-,87 Jakub Šulc,20 Daniel Kvěch,2020/2021
0,286054,2. část,02:11,-,5 Jakub Lacina,,2020/2021
1,286054,2. část,06:18,-,33 David Wurst,91 Libor Rys,2020/2021
2,286054,2. část,06:57,-,13 Tomáš Pospíchal,91 Libor Rys,2020/2021
3,286054,3. část,04:15,-,33 David Wurst,,2020/2021
4,286054,3. část,11:28,EN,13 Tomáš Pospíchal,33 David Wurst,2020/2021
0,290622,3. část,04:38,-,93 Martin Kaprálek,12 Tomáš Paskal,2021/2022
0,291306,3. část,04:09,-,9 Petr Brychta,14 Petr Šavrda,2021/2022
1,291306,3. část,11:26,-,11 Josef Kurka,9 Petr Brychta,2021/2022
0,294688,1. část,03:35,PP,33 Jan Pernikář,11 Josef Kurka,2021/2022
1,294688,2. část,08:24,-,17 Vladimír Oliva,,2021/2022
2,294688,3. část,00:53,-,72 Martin Šůs,33 Jan Pernikář,2021/2022
3,294688,3. část,11:10,-,11 Josef Kurka,17 Vladimír Oliva,2021/2022
0,295536,2. část,03:31,SH,31 Martin Hošek,9 Lukáš Martínek,2021/2022
1,295536,3. část,01:52,-,27 Jakub Špalek,16 Ondřej Turek,2021/2022
0,293079,1. část,05:59,-,7 Petr Kratochvíl,11 Jan Čech,2021/2022
1,293079,1. část,09:33,-,17 Luboš Vodrážka,4 Luboš Drbal,2021/2022
0,301973,2. část,09:59,PS,5 František Pok,,2021/2022
1,301973,3. část,02:02,-,5 František Pok,32 Martin Vacenovský,2021/2022
2,301973,-,-,PS,7 David Václavík,,2021/2022
0,305967,1. část,06:25,-,48 Ondřej Stach,14 Jan Brejcha,2021/2022
1,305967,3. část,04:32,-,93 Martin Kaprálek,7 Ondřej Zika,2021/2022
2,305967,3. část,10:18,-,93 Martin Kaprálek,7 Ondřej Zika,2021/2022
3,305967,3. část,11:12,PP,3 Jakub Vaculčiak,14 Jan Brejcha,2021/2022
0,305979,1. část,06:23,-,15 Radek Šobíšek,10 Michal Pešata,2021/2022
1,305979,2. část,04:09,-,18 Jan Kárník,8 Martin Novotný,2021/2022
