,Id,Period,Time,Player,TM,Foul,Season
5,266163,3. část,00:00,11 Martin Tučný,5,925 nesportovní chování,2019/2020
0,271018,2. část,02:03,9 Jan Škeřík,2,902 blokování hokejky,2019/2020
1,271018,2. část,06:14,6 Michal Laštovka,2,901 sekání,2019/2020
0,271013,3. část,06:41,15 David Schneider,2,901 sekání,2019/2020
0,278196,2. část,08:47,76 Pavel Škabrada,5,901 sekání,2019/2020
0,278193,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,284100,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2020/2021
0,284104,1. část,11:26,54 Ondřej Jícha,2,909 hrubost,2020/2021
1,284104,3. část,11:53,25 Zdeněk Husák,2,925 nesportovní chování,2020/2021
2,284104,3. část,11:59,93 Michal Čermák,2,925 nesportovní chování,2020/2021
0,286056,1. část,07:56,8 Eduard Adamec,2,901 sekání,2020/2021
1,286056,3. část,02:20,99 Lukáš Jiran,2,901 sekání,2020/2021
2,286056,3. část,10:02,20 Daniel Kvěch,2,922 špatné střídání,2020/2021
0,286054,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2020/2021
0,290622,2. část,00:00,54 Ivo Roušar,2,922 špatné střídání,2021/2022
0,291306,1. část,05:37,11 Josef Kurka,2,901 sekání,2021/2022
1,291306,3. část,07:09,13 Aleš Zahálka,2,909 hrubost,2021/2022
0,294684,1. část,03:00,5 Petr Šimek,2,922 špatné střídání,2021/2022
1,294684,1. část,03:48,90 Ondřej Málek,2,901 sekání,2021/2022
