,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,151313,1,03:21,-, Kryštof Hoch, Ondřej Zeman,2015/2016,3,21,201
1,151313,1,05:32,-, Jakub Hruška, Jakub Klement,2015/2016,5,32,332
2,151313,1,06:49,-, Ondřej Zeman, Jakub Hruška,2015/2016,6,49,409
3,151313,2,01:45,-, Vojtěch Brávek, Michal Šíma,2015/2016,1,45,105
4,151313,2,07:23,-, Jakub Klement, Ondřej Zeman,2015/2016,7,23,443
5,151313,3,01:06,-, Jakub Klement, Ondřej Zeman,2015/2016,1,6,66
0,153302,3,01:26,-, Daniel Klugar, Ondřej Zeman,2015/2016,1,26,86
1,153302,3,09:01,-, Tomáš Weisser,,2015/2016,9,1,541
2,153302,3,10:28,-, Ondřej Zeman, Jakub Hruška,2015/2016,10,28,628
0,153426,1,00:53,OG, Petr Kohout,,2015/2016,0,53,53
1,153426,1,02:21,-, Ondřej Zeman, Jakub Hruška,2015/2016,2,21,141
2,153426,3,01:20,-, Jakub Hruška, Ondřej Zeman,2015/2016,1,20,80
3,153426,3,03:38,-, Jakub Klement, Ondřej Zeman,2015/2016,3,38,218
4,153426,3,05:59,-, Kryštof Hoch, Jakub Klement,2015/2016,5,59,359
5,153426,3,08:17,-, Jakub Klement, Ondřej Zeman,2015/2016,8,17,497
0,155310,1,05:00,PP, Max Horn, Martin Bukovič,2015/2016,5,0,300
1,155310,1,06:09,-, Filip Terč, Stanislav Kodet,2015/2016,6,9,369
2,155310,1,11:58,-, Martin Bukovič, Vojtěch Brávek,2015/2016,11,58,718
3,155310,2,01:14,-, Ondřej Zeman, Stanislav Kodet,2015/2016,1,14,74
4,155310,2,07:04,-, Kryštof Hoch, Max Horn,2015/2016,7,4,424
5,155310,3,00:49,PP, Filip Terč, Ondřej Zeman,2015/2016,0,49,49
0,155930,1,03:18,-, Ondřej Zeman,,2015/2016,3,18,198
1,155930,1,04:30,-, Jakub Hruška,,2015/2016,4,30,270
2,155930,1,07:47,-, Vojtěch Brávek,,2015/2016,7,47,467
3,155930,2,01:40,SH, Ondřej Zeman, Kryštof Hoch,2015/2016,1,40,100
4,155930,2,06:13,-, Kryštof Hoch, Jakub Klement,2015/2016,6,13,373
5,155930,2,07:49,-, Stanislav Kodet, Vojtěch Brávek,2015/2016,7,49,469
6,155930,3,08:39,-, Max Horn, Kryštof Hoch,2015/2016,8,39,519
0,158160,1,02:21,-, Michal Šíma,,2016/2017,2,21,141
1,158160,2,11:35,-, Michal Šíma,,2016/2017,11,35,695
0,158165,3,00:48,-, Daniel Klugar, Jakub Klement,2016/2017,0,48,48
1,158165,3,11:18,-, Ondřej Zeman, Vojtěch Brávek,2016/2017,11,18,678
2,158165,3,11:34,-, Ondřej Zeman,,2016/2017,11,34,694
0,160696,1,03:28,-, Ondřej Zeman, Jakub Hruška,2016/2017,3,28,208
1,160696,1,08:32,-, Ondřej Zeman, Jakub Hruška,2016/2017,8,32,512
2,160696,1,09:47,PP, Stanislav Kodet, Jakub Klement,2016/2017,9,47,587
3,160696,2,01:07,-, Ondřej Zeman,,2016/2017,1,7,67
4,160696,2,05:10,-, Jakub Klement,,2016/2017,5,10,310
5,160696,2,09:03,PP, Ondřej Zeman, Jakub Klement,2016/2017,9,3,543
6,160696,2,10:42,-, Jakub Hruška, Michal Šíma,2016/2017,10,42,642
7,160696,3,04:56,-, Vojtěch Brávek,,2016/2017,4,56,296
8,160696,3,11:20,-, Michal Šíma,,2016/2017,11,20,680
0,165178,1,10:58,-, Jakub Klement, Martin Bukovič,2016/2017,10,58,658
1,165178,3,07:55,-, Ondřej Zeman, Josef Kopecký,2016/2017,7,55,475
0,167687,2,08:24,-, Kryštof Hoch,,2016/2017,8,24,504
1,167687,2,09:10,-, Michal Šíma,,2016/2017,9,10,550
2,167687,2,10:07,-, Jakub Hruška,,2016/2017,10,7,607
0,167690,2,03:50,-, Kryštof Hoch, Štěpán Kalina,2016/2017,3,50,230
1,167690,2,10:23,-, Michal Šíma, Daniel Klugar,2016/2017,10,23,623
2,167690,2,11:20,-, Jakub Hruška, Ondřej Zeman,2016/2017,11,20,680
3,167690,2,11:35,-, Michal Šíma, Filip Terč,2016/2017,11,35,695
4,167690,3,03:48,-, Štěpán Kalina,,2016/2017,3,48,228
0,170888,1,05:27,-, Vojtěch Brávek,,2016/2017,5,27,327
1,170888,1,06:59,-, Jakub Klement, Jakub Hruška,2016/2017,6,59,419
2,170888,1,08:46,-, Vojtěch Brávek, Ondřej Zeman,2016/2017,8,46,526
