,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
2,142369,2,02:23,-, Patrik Mesiereur, Adam Kronberger,2015/2016,2,23,143
3,142369,2,06:18,-, Zbyněk Prokšan, Bohuslav Novák,2015/2016,6,18,378
4,142369,2,08:42,-, Bohuslav Novák, Milan Vřešťál,2015/2016,8,42,522
5,142369,2,09:18,-, Zbyněk Prokšan, Bohuslav Novák,2015/2016,9,18,558
6,142369,3,07:46,-, Michal Nechanický, Zbyněk Prokšan,2015/2016,7,46,466
7,142369,3,08:13,-, Matěj Soukup, Bohuslav Novák,2015/2016,8,13,493
8,142369,3,10:34,-, Zbyněk Prokšan, Michal Nechanický,2015/2016,10,34,634
0,142372,1,11:24,-, Josef Kučera, Jan Kaňka,2015/2016,11,24,684
1,142372,2,09:17,-, Marek Frey, Jan Kaňka,2015/2016,9,17,557
2,142372,3,02:36,-, Marek Kuneš, Josef Kučera,2015/2016,2,36,156
0,144132,1,03:33,-, Radim Onderka, Marek Toráč,2015/2016,3,33,213
1,144132,1,07:08,-, Radim Onderka,,2015/2016,7,8,428
2,144132,1,07:30,-, Radim Onderka, Jiří Hrabár,2015/2016,7,30,450
3,144132,1,10:05,OG, Stanislav Kodet,,2015/2016,10,5,605
4,144132,2,11:55,-, Radim Onderka, Pavel Hejna,2015/2016,11,55,715
5,144132,3,04:59,-, Jiří Hrabár, Marek Toráč,2015/2016,4,59,299
0,144134,1,02:32,-, Lukáš Rusanov, Karel Němec,2015/2016,2,32,152
1,144134,1,10:26,-, Vítek Moučka,,2015/2016,10,26,626
2,144134,1,10:58,-, Ondřej Hodan, Karel Němec,2015/2016,10,58,658
3,144134,2,01:14,PP, Ondřej Hodan, Alexandr Mostýn,2015/2016,1,14,74
4,144134,2,02:52,PP, Vítek Moučka, Lukáš Rusanov,2015/2016,2,52,172
5,144134,2,05:58,PP, Alexandr Mostýn, Lukáš Rusanov,2015/2016,5,58,358
6,144134,3,07:03,PP, Alexandr Mostýn, Vítek Moučka,2015/2016,7,3,423
0,145416,1,00:50,-, Ondřej Šafář, Michal Vondra,2015/2016,0,50,50
1,145416,2,00:11,-, Ivo Bárta, Ondřej Šafář,2015/2016,0,11,11
2,145416,2,11:34,-, Tomáš Badin,,2015/2016,11,34,694
0,145419,1,04:18,-, Marek Häusler,,2015/2016,4,18,258
1,145419,1,04:52,-, Tomáš Hruška, Petr Brtek,2015/2016,4,52,292
2,145419,1,10:07,-, Tomáš Karbusický, Jan Vítkovský,2015/2016,10,7,607
3,145419,2,00:35,-, Pavel Cichra, Pavel Špirit,2015/2016,0,35,35
4,145419,2,04:10,-, Jiří Machala, Pavel Cichra,2015/2016,4,10,250
5,145419,2,11:29,-, Pavel Špirit, Petr Brtek,2015/2016,11,29,689
6,145419,3,06:05,-, Tomáš Hruška, Juraj Michajlov,2015/2016,6,5,365
7,145419,3,09:22,-, Tomáš Karbusický, Marek Häusler,2015/2016,9,22,562
0,148808,1,03:13,-, Lukáš Mendlík,,2015/2016,3,13,193
1,148808,1,06:44,-, Jan Lintymer, Lukáš Mendlík,2015/2016,6,44,404
2,148808,3,11:26,-, Zdeněk Hromota, Lukáš Mendlík,2015/2016,11,26,686
3,148808,3,11:41,-, Petr Rosička, Lukáš Mendlík,2015/2016,11,41,701
0,148818,3,06:01,-, Petr Sváda, Tadeáš Bohatec,2015/2016,6,1,361
1,148818,3,11:37,-, Petr Sváda, Tadeáš Bohatec,2015/2016,11,37,697
0,151296,1,03:45,PS, Dominik Bouček,,2015/2016,3,45,225
1,151296,1,08:29,-, Jakub Dragoun, Dominik Bouček,2015/2016,8,29,509
2,151296,2,03:37,-, Marek Šíp, Jaroslav Šimek,2015/2016,3,37,217
3,151296,2,07:00,-, Dominik Bouček, Vojtěch Paul,2015/2016,7,0,420
4,151296,3,11:48,-, Tomáš Krejcárek, Michal Kolář,2015/2016,11,48,708
0,151313,1,08:34,-, Matěj Soukup, Zbyněk Prokšan,2015/2016,8,34,514
1,151313,2,02:45,-, Milan Vřešťál, Jiří Nekvasil,2015/2016,2,45,165
2,151313,2,08:14,-, Martin Bolech, Matěj Soukup,2015/2016,8,14,494
3,151313,2,10:29,-, Petr Paulus, Zbyněk Prokšan,2015/2016,10,29,629
4,151313,3,05:14,-, Zbyněk Prokšan,,2015/2016,5,14,314
