,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
43,133943, Jakub Hruška ,1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,01.11.2015, PH+SČ třída mužů
44,133943, Antonio Rotondo ,0,1,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,01.11.2015, PH+SČ třída mužů
45,133943, Jiří Kvasnička ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,01.11.2015, PH+SČ třída mužů
46,133943, Kryštof Hoch ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,01.11.2015, PH+SČ třída mužů
47,133943, Ondřej Zeman ,1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,01.11.2015, PH+SČ třída mužů
48,136045, Tomáš Weisser ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
49,136045, Martin Bukovič ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
50,136045, Jakub Klement ,1,0,1,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
51,136045, Filip Terč ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
52,136045, Vojtěch Brávek ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
53,136045, Mikuláš Vyleta ,0,1,1,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
54,136045, Jakub Hruška ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
55,136045, Jiří Kvasnička ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
56,136045, Kryštof Hoch ,1,0,1,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
57,136045, Ondřej Zeman ,0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
58,136061, Tomáš Weisser ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
59,136061, Martin Bukovič ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
60,136061, Jakub Klement ,0,1,1,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
61,136061, Filip Terč ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
62,136061, Vojtěch Brávek ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
63,136061, Mikuláš Vyleta ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
64,136061, Jakub Hruška ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
65,136061, Jiří Kvasnička ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
66,136061, Kryštof Hoch ,1,0,1,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
67,136061, Ondřej Zeman ,0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha,0,14.11.2015, PH+SČ třída mužů
68,138158, Stanislav Kodet ,0,0,0,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
69,138158, Jakub Klement ,2,0,2,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
70,138158, Filip Terč ,0,1,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
71,138158, Vojtěch Brávek ,1,0,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
72,138158, Jakub Hruška ,1,1,2,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
73,138158, Kryštof Hoch ,0,1,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
74,138158, Ondřej Zeman ,1,0,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
75,138161, Stanislav Kodet ,0,0,0,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
76,138161, Jakub Klement ,2,1,3,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
77,138161, Filip Terč ,0,0,0,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
78,138161, Vojtěch Brávek ,1,1,2,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
79,138161, Jakub Hruška ,1,1,2,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
80,138161, Kryštof Hoch ,0,2,2,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
81,138161, Ondřej Zeman ,1,0,1,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha,0,28.11.2015, PH+SČ třída mužů
82,139413, Tomáš Weisser ,0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
83,139413, Martin Bukovič ,0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
84,139413, Jakub Klement ,0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
85,139413, Filip Terč ,0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
86,139413, Mikuláš Vyleta ,0,2,2,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
87,139413, Jakub Hruška ,1,2,3,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
88,139413, Štěpán Kalina ,1,0,1,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
89,139413, Kryštof Hoch ,1,0,1,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
90,139413, Ondřej Zeman ,1,0,1,2015/2016,FBC Atomovky,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
91,139432, Nicholas McLean ,0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
92,139432, Tomáš Weisser ,1,0,1,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
93,139432, Martin Bukovič ,0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
94,139432, Jakub Klement ,1,3,4,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
95,139432, Filip Terč ,0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
96,139432, Mikuláš Vyleta ,0,1,1,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
97,139432, Jakub Hruška ,5,0,5,2015/2016,TJ Kyje,FBC Penguins Praha,1,13.12.2015, PH+SČ třída mužů
98,139432, Jiří Kvasnička ,0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
99,139432, Štěpán Kalina ,2,0,2,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
100,139432, Kryštof Hoch ,0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
101,139432, Ondřej Zeman ,0,0,0,2015/2016,TJ Kyje,FBC Penguins Praha,0,13.12.2015, PH+SČ třída mužů
102,142369, Nicholas McLean ,0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
103,142369, Stanislav Kodet ,0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
104,142369, Tomáš Weisser ,1,1,2,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
105,142369, Martin Bukovič ,0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
106,142369, Jakub Klement ,0,1,1,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
107,142369, Filip Terč ,0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
108,142369, Jakub Hruška ,0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
109,142369, Michal Šíma ,1,0,1,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
110,142369, Kryštof Hoch ,1,2,3,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
111,142369, Max Horn ,0,0,0,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
112,142369, Ondřej Zeman ,1,0,1,2015/2016,Athletics Praha D,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
113,142372, Nicholas McLean ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
114,142372, Stanislav Kodet ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
115,142372, Tomáš Weisser ,0,1,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
116,142372, Martin Bukovič ,1,1,2,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
117,142372, Jakub Klement ,1,1,2,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
118,142372, Filip Terč ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
119,142372, Jakub Hruška ,1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
120,142372, Michal Šíma ,1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
121,142372, Štěpán Kalina ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
122,142372, Kryštof Hoch ,0,1,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
123,142372, Max Horn ,0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
124,142372, Ondřej Zeman ,1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha,0,10.01.2016, PH+SČ třída mužů
125,144132, Stanislav Kodet ,0,0,0,2015/2016,Gladiátor Team Beroun B,FBC Penguins Praha,0,23.01.2016, PH+SČ třída mužů
126,144132, Martin Bukovič ,1,1,2,2015/2016,Gladiátor Team Beroun B,FBC Penguins Praha,0,23.01.2016, PH+SČ třída mužů
