GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Josef Kopecký,376,76,2124,0,-376,4.95,5.65
 Bohumil Holada,91,17,576,0,-91,5.35,6.33
 Jan Roháč,59,16,432,0,-59,3.69,7.32
 Antonio Rotondo,58,10,288,0,-58,5.8,4.97
 Jakub Rejf,66,6,216,0,-66,11.0,3.27
 Jaroslav Soldán,15,3,108,0,-15,-,-
 Václav Boček,12,3,108,0,-12,-,-
 Kryštof Sojka,15,2,72,0,-15,-,-
 Jakub Hruška,6,1,36,0,-6,-,-
