,0
0, Antonio Rotondo 
1, Daniel Klugar 
2, Filip Terč 
3, Jakub Hruška 
4, Jakub Klement 
5, Jakub Rada 
6, Jakub Rejf 
7, Jaroslav Soldán 
8, Jiří Kvasnička 
9, Josef Kopecký 
10, Kryštof Hoch 
11, Martin Bukovič 
12, Max Horn 
13, Michal Šíma 
14, Mikuláš Vyleta 
15, Nicholas McLean 
16, Ondřej Zeman 
17, Stanislav Kodet 
18, Tomáš Weisser 
19, Vojtěch Brávek 
20, Václav Boček 
21, Štěpán Kalina 
