,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
11,236942,FBC Mobydick Praha,FC Bučis Team B,4,2,Win,sobota 12.01.2019; SH VŠE,počet diváků: 15,začátek 14:50; konec 15:50,Utkání: 3XM92018/2019-A078; 13. kolo; PHaSČ třída mužů,"části: 2:1, 2:0, 0:1, střely na branku: 0:0","rozhodčí: Stárek Vojtěch, Jangl Jakub",delegát: ,                  Jakub Horyna,"Empty DataFrame
Columns: [Player]
Index: []",                  Jakub Horyna,2018/2019,12.01.2019, SH VŠE,sobota, Stárek Vojtěch, Jangl Jakub, PHaSČ třída mužů
12,239917,FBC Mobydick Praha,FBC Blue Horses B,9,7,Win,sobota 02.02.2019; SH Stochov,počet diváků: 0,začátek 10:10; konec 11:18,Utkání: 3XM92018/2019-A086; 15. kolo; PHaSČ třída mužů,"části: 1:1, 4:5, 2:3, střely na branku: 0:0","rozhodčí: Herman Petr, Nejedlo Daniel",delegát: ,                  Jakub Horyna,                      Stanislav Prokop,                  Jakub Horyna,2018/2019,02.02.2019, SH Stochov,sobota, Herman Petr, Nejedlo Daniel, PHaSČ třída mužů
13,239912,FBC Mobydick Praha,FBC Hornets Praha B,5,6,Lose,sobota 02.02.2019; SH Stochov,počet diváků: 0,začátek 13:40; konec 14:40,Utkání: 3XM92018/2019-A089; 15. kolo; PHaSČ třída mužů,"části: 1:2, 2:4, 2:0, střely na branku: 0:0","rozhodčí: Dolejší Filip, Škoula Daniel",delegát: ,                   Martin Fojtík,               Jan Rázga,                   Martin Fojtík,2018/2019,02.02.2019, SH Stochov,sobota, Dolejší Filip, Škoula Daniel, PHaSČ třída mužů
14,242544,FBC Mobydick Praha,TJ Sokol Dobříš B,3,6,Lose,sobota 16.02.2019; SH TJ Kobylisy,počet diváků: 0,začátek 11:20; konec 12:14,Utkání: 3XM92018/2019-A099; 17. kolo; PHaSČ třída mužů,"části: 1:2, 1:4, 1:0, střely na branku: 0:0","rozhodčí: Kušnirák Christian-Marcel, Baloun Milan",delegát: ,                  Aleš Martínek,                    Tomáš Pavlíček,                    Tomáš Pavlíček,2018/2019,16.02.2019, SH TJ Kobylisy,sobota, Kušnirák Christian-Marcel, Baloun Milan, PHaSČ třída mužů
15,242540,FBC Mobydick Praha,FBK Vosy Praha DDM P2 C,3,4,Lose,sobota 16.02.2019; SH TJ Kobylisy,počet diváků: 0,začátek 13:30; konec 14:30,Utkání: 3XM92018/2019-A101; 17. kolo; PHaSČ třída mužů,"části: 1:1, 1:1, 2:1, střely na branku: 0:0","rozhodčí: Jestříbek Jiří, Kušnirák Christian-Marcel",delegát: ,                 Libor Hrach,"Empty DataFrame
Columns: [Player]
Index: []",                 Libor Hrach,2018/2019,16.02.2019, SH TJ Kobylisy,sobota, Jestříbek Jiří, Kušnirák Christian-Marcel, PHaSČ třída mužů
16,244641,FBC Mobydick Praha,FLORBAL RIDERS,10,7,Lose,sobota 02.03.2019; SH Králův Dvůr,počet diváků: 0,začátek 12:30; konec 13:25,Utkání: 3XM92018/2019-A112; 19. kolo; PHaSČ třída mužů,"části: 1:2, 1:5, 5:3, střely na branku: 0:0","rozhodčí: Herman Petr, Škoula Daniel",delegát: ,                   Martin Fojtík,                     Jaroslav Rendla,                   Martin Fojtík,2018/2019,02.03.2019, SH Králův Dvůr,sobota, Herman Petr, Škoula Daniel, PHaSČ třída mužů
17,244484,FBC Mobydick Praha,FBC Majklar,14,2,Lose,sobota 02.03.2019; SH Králův Dvůr,počet diváků: 0,začátek 14:50; konec 15:50,Utkání: 3XM92018/2019-A114; 19. kolo; PHaSČ třída mužů,"části: 8:2, 3:0, 3:0, střely na branku: 0:0","rozhodčí: Vostrá Jana, Stuš Pavel",delegát: ,                   Martin Fojtík,"Empty DataFrame
Columns: [Player]
Index: []",                   Martin Fojtík,2018/2019,02.03.2019, SH Králův Dvůr,sobota, Vostrá Jana, Stuš Pavel, PHaSČ třída mužů
18,245316,FBC Mobydick Praha,FKMP Praha B,13,1,Win,sobota 23.03.2019; SH Bystřice,počet diváků: 0,začátek 10:10; konec 11:17,Utkání: 3XM92018/2019-A122; 21. kolo; PHaSČ třída mužů,"části: 3:0, 2:1, 8:0, střely na branku: 0:0","rozhodčí: Fišer Daniel, Pavlík Martin",delegát: ,                  Jakub Horyna,                  Tomáš Vrabec,                  Jakub Horyna,2018/2019,23.03.2019, SH Bystřice,sobota, Fišer Daniel, Pavlík Martin, PHaSČ třída mužů
19,247361,FBC Mobydick Praha,FBC Blue Horses B,9,1,Win,sobota 23.03.2019; SH Bystřice,počet diváků: 0,začátek 14:50; konec 15:58,Utkání: 3XM92018/2019-A126; 21. kolo; PHaSČ třída mužů,"části: 1:4, 0:3, 0:2, střely na branku: 0:0","rozhodčí: Přibil Daniel, Tůma Jan",delegát: ,                   Martin Fojtík,                  Lukáš Müller,                   Martin Fojtík,2018/2019,23.03.2019, SH Bystřice,sobota, Přibil Daniel, Tůma Jan, PHaSČ třída mužů
20,249569,FBC Mobydick Praha,FC Bučis Team B,3,2,Win,sobota 06.04.2019; SH VŠE,počet diváků: 0,začátek 10:10; konec 11:08,Utkání: 3XM92018/2019-A134; 23. kolo; PHaSČ třída mužů,"části: 0:2, 0:1, 2:0, střely na branku: 0:0","rozhodčí: Baloun Milan, Hrubín Jan",delegát: ,                   Martin Fojtík,"Empty DataFrame
Columns: [Player]
Index: []",                   Martin Fojtík,2018/2019,06.04.2019, SH VŠE,sobota, Baloun Milan, Hrubín Jan, PHaSČ třída mužů
