,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
2,239912,2,11:57,-, Libor Hrach, Jakub Horyna,2018/2019,11,57,717
3,239912,3,02:33,-, Jakub Horyna, Martin Fojtík,2018/2019,2,33,153
4,239912,3,08:06,PP, Martin Fojtík, Jakub Horyna,2018/2019,8,6,486
0,242544,1,06:18,-, Jan Jiráň, Jan Novák,2018/2019,6,18,378
1,242544,2,11:04,PS, Aleš Martínek,,2018/2019,11,4,664
2,242544,3,05:06,PP, Martin Bosák, Aleš Martínek,2018/2019,5,6,306
0,242540,1,06:57,-, Libor Hrach,,2018/2019,6,57,417
1,242540,2,04:40,-, Libor Hrach, Jan Jiráň,2018/2019,4,40,280
2,242540,3,11:52,-, Aleš Martínek,,2018/2019,11,52,712
0,244641,1,08:21,-, Jakub Vilim, Martin Fojtík,2018/2019,8,21,501
1,244641,1,08:39,-, Petr Zahradník, Martin Bosák,2018/2019,8,39,519
2,244641,2,00:44,-, Martin Fojtík,,2018/2019,0,44,44
3,244641,2,08:14,-, Jakub Horyna, Jakub Vilim,2018/2019,8,14,494
4,244641,2,10:07,-, Jakub Horyna, Jan Jiráň,2018/2019,10,7,607
5,244641,2,10:28,-, Martin Bosák, Petr Zahradník,2018/2019,10,28,628
6,244641,2,10:43,-, Martin Fojtík, Jakub Horyna,2018/2019,10,43,643
7,244641,3,03:36,-, Aleš Martínek, Martin Bosák,2018/2019,3,36,216
8,244641,3,04:07,-, Martin Fojtík, Jakub Horyna,2018/2019,4,7,247
9,244641,3,11:38,PP, Martin Fojtík, Jakub Vilim,2018/2019,11,38,698
0,244484,1,00:58,-, Martin Fojtík, Jakub Horyna,2018/2019,0,58,58
1,244484,1,02:47,-, Martin Fojtík,,2018/2019,2,47,167
2,244484,1,03:18,-, Martin Bosák, Aleš Martínek,2018/2019,3,18,198
3,244484,1,04:51,-, Aleš Martínek, Martin Bosák,2018/2019,4,51,291
4,244484,1,05:50,-, Martin Fojtík, Jakub Horyna,2018/2019,5,50,350
5,244484,1,07:04,-, Martin Fojtík, Jakub Horyna,2018/2019,7,4,424
6,244484,1,09:12,-, Jakub Vilim, Jan Jiráň,2018/2019,9,12,552
7,244484,1,09:27,-, Martin Fojtík, Jan Jiráň,2018/2019,9,27,567
8,244484,2,06:46,-, Jakub Horyna, Martin Fojtík,2018/2019,6,46,406
9,244484,2,09:26,PP, Martin Fojtík, Jakub Horyna,2018/2019,9,26,566
10,244484,2,11:10,-, Martin Bosák, Lucie Kisugite,2018/2019,11,10,670
11,244484,3,05:20,-, Jakub Horyna, Martin Fojtík,2018/2019,5,20,320
12,244484,3,05:32,-, Aleš Martínek,,2018/2019,5,32,332
13,244484,3,10:14,-, Martin Fojtík, Jakub Vilim,2018/2019,10,14,614
0,245316,1,02:57,-, Jakub Horyna, Lucie Kisugite,2018/2019,2,57,177
1,245316,1,05:23,SH, Martin Fojtík, Martin Bosák,2018/2019,5,23,323
2,245316,1,07:33,-, Martin Fojtík, Martin Bosák,2018/2019,7,33,453
3,245316,2,05:18,-, Martin Fojtík, Lucie Kisugite,2018/2019,5,18,318
4,245316,2,06:58,-, Lucie Kisugite, Jakub Horyna,2018/2019,6,58,418
5,245316,3,00:30,PS, Aleš Martínek,,2018/2019,0,30,30
6,245316,3,01:12,-, Jakub Vilim, Martin Bosák,2018/2019,1,12,72
7,245316,3,01:48,-, Martin Fojtík, Jan Jiráň,2018/2019,1,48,108
8,245316,3,04:18,PP, Jakub Horyna, Martin Fojtík,2018/2019,4,18,258
9,245316,3,05:18,-, Jakub Horyna, Petr Zahradník,2018/2019,5,18,318
10,245316,3,05:51,-, Jakub Horyna, Martin Fojtík,2018/2019,5,51,351
11,245316,3,09:04,PP, Jakub Horyna, Martin Fojtík,2018/2019,9,4,544
12,245316,3,10:39,-, Jakub Horyna, Lucie Kisugite,2018/2019,10,39,639
0,247361,1,02:50,-, Martin Bosák,,2018/2019,2,50,170
1,247361,1,07:40,-, Martin Fojtík, Jakub Horyna,2018/2019,7,40,460
2,247361,1,08:52,-, Lucie Kisugite, Jakub Horyna,2018/2019,8,52,532
3,247361,1,10:44,-, Martin Fojtík, Jakub Horyna,2018/2019,10,44,644
4,247361,2,01:03,-, Lucie Kisugite, Martin Bosák,2018/2019,1,3,63
5,247361,2,03:01,-, Petr Zahradník, Aleš Martínek,2018/2019,3,1,181
6,247361,2,06:09,PP, Aleš Martínek, Martin Bosák,2018/2019,6,9,369
7,247361,3,00:08,-, Martin Fojtík,,2018/2019,0,8,8
8,247361,3,08:30,-, Jakub Horyna, Martin Fojtík,2018/2019,8,30,510
0,249569,1,04:04,-, Martin Fojtík, Martin Bosák,2018/2019,4,4,244
1,249569,1,08:56,-, Jakub Horyna,,2018/2019,8,56,536
2,249569,2,09:47,-, Martin Fojtík,,2018/2019,9,47,587
0,249565,1,00:56,-, Lucie Kisugite, Jakub Horyna,2018/2019,0,56,56
1,249565,1,05:30,-, Martin Fojtík, Jakub Horyna,2018/2019,5,30,330
2,249565,2,07:44,SH, Martin Fojtík, Martin Bosák,2018/2019,7,44,464
3,249565,2,10:17,-, Martin Bosák, Šimon Smrček,2018/2019,10,17,617
4,249565,2,11:14,-, Martin Fojtík, Martin Bosák,2018/2019,11,14,674
5,249565,3,06:23,-, Jakub Horyna,,2018/2019,6,23,383
0,222364,1,05:08,-, Martin Fojtík, Jakub Horyna,2018/2019,5,8,308
1,222364,1,07:14,-, Jakub Horyna, Martin Fojtík,2018/2019,7,14,434
2,222364,2,00:40,-, Martin Fojtík, Jakub Horyna,2018/2019,0,40,40
3,222364,2,10:03,SH, Aleš Martínek, Martin Fojtík,2018/2019,10,3,603
4,222364,3,00:11,-, Jakub Horyna, Martin Fojtík,2018/2019,0,11,11
5,222364,3,02:59,PP, Aleš Martínek, Jakub Horyna,2018/2019,2,59,179
6,222364,3,07:39,PP, Aleš Martínek, Jan Jiráň,2018/2019,7,39,459
7,222364,3,09:54,-, Martin Bosák, Jakub Horyna,2018/2019,9,54,594
0,251696,2,00:10,-, Martin Fojtík, Martin Bosák,2018/2019,0,10,10
1,251696,2,07:49,-, Martin Fojtík, Lucie Kisugite,2018/2019,7,49,469
2,251696,2,10:40,-, Martin Fojtík, Šimon Smrček,2018/2019,10,40,640
3,251696,3,03:08,-, Šimon Smrček, Jakub Horyna,2018/2019,3,8,188
4,251696,3,04:57,-, Martin Fojtík, Šimon Smrček,2018/2019,4,57,297
0,255299,1,09:07,PP, Martin Bosák, Viliam Virba,2019/2020,9,7,547
1,255299,2,01:33,-, Petr Sukalovský, Martin Bosák,2019/2020,1,33,93
2,255299,2,05:18,-, Tomáš Štumf, Aleš Martínek,2019/2020,5,18,318
3,255299,3,07:13,-, Martin Bosák, Petr Zahradník,2019/2020,7,13,433
4,255299,3,08:40,-, Martin Bosák, Petr Sukalovský,2019/2020,8,40,520
0,255295,1,09:12,-, Jan Jiráň, Šimon Smrček,2019/2020,9,12,552
1,255295,3,09:01,PS, Aleš Martínek,,2019/2020,9,1,541
2,255295,3,10:08,-, Martin Bosák,,2019/2020,10,8,608
0,257498,1,11:25,-, Libor Hrach, Tomáš Štumf,2019/2020,11,25,685
1,257498,2,02:24,-, Rudolf Rubáš, Aleš Martínek,2019/2020,2,24,144
2,257498,2,06:21,-, Petr Sukalovský, Martin Bosák,2019/2020,6,21,381
3,257498,2,09:56,-, Tomáš Štumf, Martin Bosák,2019/2020,9,56,596
0,257495,3,00:07,-, Rudolf Rubáš, Martin Bosák,2019/2020,0,7,7
1,257495,3,07:14,-, Jakub Vilim, Filip Gaberdén,2019/2020,7,14,434
2,257495,3,10:26,-, Martin Bosák, Rudolf Rubáš,2019/2020,10,26,626
3,257495,3,11:26,-, Aleš Martínek, Rudolf Rubáš,2019/2020,11,26,686
0,260191,1,00:38,-, Martin Bosák,,2019/2020,0,38,38
1,260191,1,03:12,-, Aleš Martínek, Rudolf Rubáš,2019/2020,3,12,192
2,260191,1,04:31,-, Petr Sukalovský, Petr Zahradník,2019/2020,4,31,271
3,260191,3,10:05,-, Petr Sukalovský, Martin Bosák,2019/2020,10,5,605
4,260191,3,11:25,-, Petr Sukalovský, Martin Bosák,2019/2020,11,25,685
0,260184,2,00:45,-, Petr Sukalovský, Petr Zahradník,2019/2020,0,45,45
1,260184,2,04:08,-, Petr Sukalovský, Martin Bosák,2019/2020,4,8,248
2,260184,2,04:18,-, Rudolf Rubáš,,2019/2020,4,18,258
3,260184,2,05:34,-, Matej Kolesár, Martin Bosák,2019/2020,5,34,334
4,260184,2,07:28,-, Petr Sukalovský, Matej Kolesár,2019/2020,7,28,448
5,260184,3,04:13,-, Martin Bosák, Petr Zahradník,2019/2020,4,13,253
6,260184,3,06:14,-, Martin Bosák,,2019/2020,6,14,374
0,261992,1,06:29,-, Petr Sukalovský, Martin Bosák,2019/2020,6,29,389
1,261992,2,03:35,-, Petr Sukalovský, Martin Bosák,2019/2020,3,35,215
2,261992,3,02:32,-, Martin Bosák, Petr Zahradník,2019/2020,2,32,152
0,266168,3,02:05,PP, Petr Zahradník, Martin Bosák,2019/2020,2,5,125
1,266168,3,04:06,PS, Aleš Martínek,,2019/2020,4,6,246
2,266168,3,04:46,-, Petr Sukalovský, Jan Jiráň,2019/2020,4,46,286
3,266168,3,11:16,WG, Rudolf Rubáš, Petr Sukalovský,2019/2020,11,16,676
0,266163,2,04:02,PP, Aleš Martínek, Tomáš Štumf,2019/2020,4,2,242
0,271018,1,09:08,-, Tomáš Štumf, David Hochman,2019/2020,9,8,548
1,271018,1,10:35,-, Rudolf Rubáš, Šimon Smrček,2019/2020,10,35,635
2,271018,3,06:39,-, Martin Bosák, Petr Zahradník,2019/2020,6,39,399
0,271013,2,10:56,-, Jaroslav Drahotínský, David Hochman,2019/2020,10,56,656
