,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
4,242544,2,10:27,-, Roman Šebek, Tomáš Pavlíček,2018/2019,10,27,627
5,242544,2,11:56,-, Tomáš Krejcárek, Vít Bohata,2018/2019,11,56,716
0,242540,1,00:43,-, Miroslav Čadský,,2018/2019,0,43,43
1,242540,2,11:13,-, Filip Kolařík,,2018/2019,11,13,673
2,242540,3,07:11,PP, Jiří Krbec,,2018/2019,7,11,431
3,242540,3,08:57,OG, Filip Vala,,2018/2019,8,57,537
0,244641,1,08:53,-, Jan Lovasz, Michal Lebeda,2018/2019,8,53,533
1,244641,2,00:15,-, Michal Lebeda, Jaroslav Rendla,2018/2019,0,15,15
2,244641,3,03:54,-, Jaroslav Rendla, Jiří Krotký,2018/2019,3,54,234
3,244641,3,04:27,OG, Aleš Martínek,,2018/2019,4,27,267
4,244641,3,05:10,-, Pavel Špirit, Marek Häusler,2018/2019,5,10,310
5,244641,3,07:10,-, Tomáš Hruška, Jaroslav Rendla,2018/2019,7,10,430
6,244641,3,11:59,OG, Jakub Kalfiřt,,2018/2019,11,59,719
0,244484,1,06:27,-, Martin Křížek, Martin Kopecký,2018/2019,6,27,387
1,244484,1,11:23,-, Viktor Čižmar, Martin Habart,2018/2019,11,23,683
0,245316,2,02:37,-, Tomáš Vrabec, Martin Červený,2018/2019,2,37,157
0,247361,1,02:12,-, Lukáš Müller, Stanislav Lepič,2018/2019,2,12,132
0,249569,3,02:29,-, Marek Tlučhoř, Jan Snížek,2018/2019,2,29,149
1,249569,3,03:27,SH, Erik Papež,,2018/2019,3,27,207
0,249565,1,11:03,-, Teodor Bodlák, David Sgall,2018/2019,11,3,663
1,249565,2,03:03,-, Vilém Bodlák, Tomáš Táborský,2018/2019,3,3,183
2,249565,3,08:39,-, Vilém Bodlák, Teodor Bodlák,2018/2019,8,39,519
0,222364,1,03:38,-, Michal Gajdušek, Ondřej Jilemnický,2018/2019,3,38,218
1,222364,2,09:17,PP, Ondřej Jilemnický, Pavel Šmatlák,2018/2019,9,17,557
2,222364,3,01:43,-, Ondřej Polínek, Tomáš Kameník,2018/2019,1,43,103
0,251696,3,07:47,-, Šimon Todorov, Zdeněk Jurák,2018/2019,7,47,467
1,251696,3,11:08,PP, Martin Koubík, Zdeněk Jurák,2018/2019,11,8,668
0,255295,1,02:14,-, David Schneider,,2019/2020,2,14,134
1,255295,1,03:01,-, David Schneider, Jaroslav Chalupný,2019/2020,3,1,181
2,255295,2,02:55,-, Jaroslav Chalupný, Michal Kárník,2019/2020,2,55,175
3,255295,2,08:03,-, Michal Kárník, Petr Hora,2019/2020,8,3,483
4,255295,3,11:58,EN, Jaroslav Chalupný,,2019/2020,11,58,718
0,257498,1,01:08,-, Michal Myšík, Zdeněk Burian,2019/2020,1,8,68
1,257498,1,07:18,-, Michal Myšík, Václav Skopový,2019/2020,7,18,438
2,257498,1,10:09,PS, Michal Myšík,,2019/2020,10,9,609
3,257498,2,08:51,-, Petr Káda,,2019/2020,8,51,531
4,257498,3,06:18,-, Václav Skopový, Michal Myšík,2019/2020,6,18,378
0,260191,1,10:31,-, Pavel Trbušek, Filip Weber,2019/2020,10,31,631
1,260191,3,10:59,-, Pavel Trbušek, Jakub Nováček,2019/2020,10,59,659
