GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Viliam Virba,88,29,1007,0,-88,3.03,11.44
 Michael Kunc,49,10,360,0,-49,4.9,7.35
 Filip Vala,34,8,180,0,-34,4.25,5.29
 Tomáš Virba,6,4,144,0,-6,-,-
 Petr Čermák,6,3,72,0,-6,-,-
 Jan Novák,6,2,72,0,-6,-,-
 Ondřej Podhůrský,5,2,72,0,-5,-,-
 David Hochman,1,1,36,0,-1,-,-
 Jaroslav Drahotínský,7,1,36,0,-7,-,-
