,Id,Player,G,A,PTS,Season,Team_against,Team_for
9,136045,97 Ondřej Zeman (U),0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha
0,136061,6 Tomáš Weisser (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
1,136061,7 Martin Bukovič (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
2,136061,9 Jakub Klement (U),0,1,1,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
3,136061,11 Filip Terč (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
4,136061,15 Vojtěch Brávek (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
5,136061,16 Mikuláš Vyleta (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
6,136061,17 Jakub Hruška (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
7,136061,22 Jiří Kvasnička (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
8,136061,73 Kryštof Hoch (U),1,0,1,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
9,136061,97 Ondřej Zeman (U),0,0,0,2015/2016,FBC Slavia Praha B,FBC Penguins Praha
0,138158,4 Stanislav Kodet (U),0,0,0,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
1,138158,9 Jakub Klement (U),2,0,2,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
2,138158,11 Filip Terč (U),0,1,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
3,138158,15 Vojtěch Brávek (U),1,0,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
4,138158,17 Jakub Hruška (U),1,1,2,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
5,138158,73 Kryštof Hoch (U),0,1,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
6,138158,97 Ondřej Zeman (U),1,0,1,2015/2016,CRPA B Prague Amigos,FBC Penguins Praha
0,138161,4 Stanislav Kodet (U),0,0,0,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
1,138161,9 Jakub Klement (U),2,1,3,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
2,138161,11 Filip Terč (U),0,0,0,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
3,138161,15 Vojtěch Brávek (U),1,1,2,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
4,138161,17 Jakub Hruška (U),1,1,2,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
5,138161,73 Kryštof Hoch (U),0,2,2,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
6,138161,97 Ondřej Zeman (U),1,0,1,2015/2016,TJ Sokol Dobříš B,FBC Penguins Praha
0,139413,6 Tomáš Weisser (U),0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha
1,139413,7 Martin Bukovič (U),0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha
2,139413,9 Jakub Klement (U),0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha
3,139413,11 Filip Terč (U),0,0,0,2015/2016,FBC Atomovky,FBC Penguins Praha
4,139413,16 Mikuláš Vyleta (U),0,2,2,2015/2016,FBC Atomovky,FBC Penguins Praha
5,139413,17 Jakub Hruška (U),1,2,3,2015/2016,FBC Atomovky,FBC Penguins Praha
