GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Marian Bobko,0,1,0,0,0,-,-
 Josef Šubrt,1,1,36,0,-1,-,-
 Lukáš Sýkora,10,1,36,0,-10,-,-
 Lukáš Marek,3,1,0,0,-3,-,-
 Luboš Pieter,2,1,36,30,28,-,-
 Miroslav Mynář,4,1,36,0,-4,-,-
 Miroslav Čačka,1,1,45,30,29,-,-
 Jan Křemen,1,1,36,0,-1,-,-
 Patrik Dvořák,6,1,36,30,24,-,-
 Pavel Soukup,2,1,36,30,28,-,-
 Jakub Záhora,2,1,36,0,-2,-,-
 Pavel Machačka,0,1,0,0,0,-,-
 Jakub Černý,3,1,36,30,27,-,-
 Pavel Dundr,1,1,36,0,-1,-,-
 Lukáš Brož,3,1,36,30,27,-,-
 Pavel Bartůněk,3,1,36,0,-3,-,-
 Jan Dechet,2,1,36,0,-2,-,-
 Nick Štíbr,0,1,12,0,0,-,-
 Jan Doskočil,0,1,0,0,0,-,-
 Ondřej Puritscher,1,1,36,0,-1,-,-
 Ondřej Martinovský,8,1,45,30,22,-,-
 Ondřej Jelínek,0,1,0,0,0,-,-
 Ondřej Hradec,6,1,36,30,24,-,-
 Ondřej Havelka,2,1,36,0,-2,-,-
 Oldřich Hlavička,0,1,36,0,0,-,-
 Jakub Šebela,2,1,45,30,28,-,-
