,Id,Period,Time,Player,TM,Foul,Season
0,23278,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,24752,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,24754,1. část,01:48,3 Martin Elišák,2,901 sekání,2009/2010
1,24754,3. část,02:27,3 Martin Elišák,2,909 hrubost,2009/2010
0,25954,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,25950,1. část,01:05,4 Jakub Mádr,2,902 blokování hokejky,2009/2010
1,25950,2. část,07:52,8 Filip Weber,2,901 sekání,2009/2010
2,25950,3. část,11:53,5 Ladislav Tyll,2,907 nedovolené vrážení,2009/2010
0,27336,3. část,10:39,5 Ladislav Tyll,2,915 nedovolená vzdálenost,2009/2010
0,29252,1. část,04:36,78 Zdeněk Máčel,2,923 opakované přestupky,2010/2011
1,29252,2. část,04:03,3 Martin Elišák,2,901 sekání,2010/2011
2,29252,3. část,06:55,77 Ctibor Chmelař,2,901 sekání,2010/2011
3,29252,3. část,07:01,7 Miloš Zapadlo,2,921 hra hlavou,2010/2011
0,29250,1. část,04:44,78 Zdeněk Máčel,2,901 sekání,2010/2011
1,29250,1. část,05:45,3 Martin Elišák,2,901 sekání,2010/2011
2,29250,2. část,11:55,77 Ctibor Chmelař,2,921 hra hlavou,2010/2011
0,30521,2. část,07:31,77 Ctibor Chmelař,2,902 blokování hokejky,2010/2011
1,30521,3. část,05:42,7 Miloš Zapadlo,2,919 hra na zemi,2010/2011
0,30518,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,31231,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,31228,1. část,09:36,48 Roman Žampach,2,919 hra na zemi,2010/2011
0,32999,2. část,09:51,77 Ctibor Chmelař,2,901 sekání,2010/2011
1,32999,2. část,11:38,22 Jakub Nováček,2,902 blokování hokejky,2010/2011
0,32921,2. část,04:41,77 Ctibor Chmelař,2,901 sekání,2010/2011
0,34411,1. část,03:16,8 Filip Weber,2,923 opakované přestupky,2010/2011
1,34411,2. část,09:01,21 Štěpán Trousil,2,907 nedovolené vrážení,2010/2011
2,34411,3. část,10:03,7 Miloš Zapadlo,2,919 hra na zemi,2010/2011
0,35918,1. část,05:04,21 Štěpán Trousil,2,901 sekání,2010/2011
1,35918,3. část,00:32,5 Ladislav Tyll,2,919 hra na zemi,2010/2011
0,35915,1. část,06:43,86 Zdeněk Karásek,2,919 hra na zemi,2010/2011
0,38225,3. část,03:33,8 Filip Weber,2,919 hra na zemi,2010/2011
0,38223,3. část,06:52,4 Jakub Mádr,2,904 vysoká hokejka,2010/2011
0,28904,1. část,09:13,48 Roman Žampach,2,923 opakované přestupky,2010/2011
0,29832,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,40660,3. část,00:45,5 Ladislav Tyll,2,915 nedovolená vzdálenost,2010/2011
0,41547,1. část,07:02,11 Václav Rides,2,923 opakované přestupky,2010/2011
0,43569,1. část,04:34,5 Ladislav Tyll,2,901 sekání,2010/2011
1,43569,2. část,07:56,8 Filip Weber,2,902 blokování hokejky,2010/2011
2,43569,3. část,04:46,8 Filip Weber,2,901 sekání,2010/2011
3,43569,3. část,06:58,3 Martin Elišák,2,925 nesportovní chování,2010/2011
4,43569,3. část,06:58,3 Martin Elišák,10,925 nesportovní chování,2010/2011
0,46482,3. část,07:12,48 Roman Žampach,2,923 opakované přestupky,2011/2012
1,46482,3. část,10:14,21 Štěpán Trousil,2,907 nedovolené vrážení,2011/2012
0,48470,1. část,03:39,77 Ctibor Chmelař,2,923 opakované přestupky,2011/2012
1,48470,2. část,05:03,77 Ctibor Chmelař,2,923 opakované přestupky,2011/2012
2,48470,3. část,03:25,22 Jakub Nováček,2,901 sekání,2011/2012
0,48466,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2011/2012
0,50281,2. část,06:02,17 Adam Štefánik,2,911 bránění ve hře,2011/2012
