,Id,Player,G,A,PTS,Season,Team_against,Team_for
8,6025,10 Petr Škaloud (U),0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys
9,6025,11 Václav Rides (U),2,0,2,2008/2009,FC Bílé Hole,FBC Ressler boys
10,6025,12 Adam Bardún (U),0,1,1,2008/2009,FC Bílé Hole,FBC Ressler boys
0,6182,2 Jakub Nováček (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
1,6182,4 Jakub Mádr (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
2,6182,8 Filip Weber (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
3,6182,10 Petr Škaloud (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
4,6182,11 Václav Rides (U),1,0,1,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
5,6182,12 Adam Bardún (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
6,6182,13 Jan Mareš (U),0,1,1,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
0,6472,2 Jakub Nováček (U),1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys
1,6472,3 Pavel Maršík (U),0,2,2,2008/2009,TBC Horoměřice B,FBC Ressler boys
2,6472,5 Ladislav Tyll (U),1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys
3,6472,8 Filip Weber (U),0,0,0,2008/2009,TBC Horoměřice B,FBC Ressler boys
4,6472,10 Petr Škaloud (U),0,0,0,2008/2009,TBC Horoměřice B,FBC Ressler boys
5,6472,11 Václav Rides (U),1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys
6,6472,12 Adam Bardún (U),0,0,0,2008/2009,TBC Horoměřice B,FBC Ressler boys
0,6470,2 Jakub Nováček (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
1,6470,3 Pavel Maršík (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
2,6470,5 Ladislav Tyll (U),1,0,1,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
3,6470,8 Filip Weber (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
4,6470,10 Petr Škaloud (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
5,6470,11 Václav Rides (U),0,1,1,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
6,6470,12 Adam Bardún (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
0,456,3 Pavel Maršík (U),2,0,2,2008/2009,Game Over Praha,FBC Ressler boys
1,456,4 Jakub Mádr (U),0,1,1,2008/2009,Game Over Praha,FBC Ressler boys
2,456,5 Ladislav Tyll (U),0,1,1,2008/2009,Game Over Praha,FBC Ressler boys
3,456,8 Filip Weber (U),0,0,0,2008/2009,Game Over Praha,FBC Ressler boys
4,456,10 Petr Škaloud (U),1,1,2,2008/2009,Game Over Praha,FBC Ressler boys
5,456,11 Václav Rides (U),0,0,0,2008/2009,Game Over Praha,FBC Ressler boys
6,456,12 Adam Bardún (U),0,0,0,2008/2009,Game Over Praha,FBC Ressler boys
0,8515,3 Pavel Maršík (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
1,8515,4 Jakub Mádr (U),0,1,1,2008/2009,FKMP Praha,FBC Ressler boys
2,8515,5 Ladislav Tyll (U),1,0,1,2008/2009,FKMP Praha,FBC Ressler boys
3,8515,8 Filip Weber (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
4,8515,10 Petr Škaloud (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
5,8515,11 Václav Rides (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
6,8515,12 Adam Bardún (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
0,9641,2 Zdeněk Máčel (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
1,9641,4 Jakub Mádr (U),0,1,1,2008/2009,FbC Engineers,FBC Ressler boys
2,9641,5 Ladislav Tyll (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
3,9641,6 Milan Balzer (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
4,9641,8 Filip Weber (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
5,9641,9 Roman Žampach (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
6,9641,10 Petr Škaloud (U),1,0,1,2008/2009,FbC Engineers,FBC Ressler boys
7,9641,11 Václav Rides (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
8,9641,12 Adam Bardún (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
9,9641,13 Jakub Nováček (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
0,9636,2 Zdeněk Máčel (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
1,9636,4 Jakub Mádr (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
2,9636,5 Ladislav Tyll (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
3,9636,6 Milan Balzer (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
4,9636,8 Filip Weber (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
5,9636,9 Roman Žampach (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
6,9636,10 Petr Škaloud (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
7,9636,11 Václav Rides (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
8,9636,12 Adam Bardún (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
9,9636,13 Jakub Nováček (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
0,10203,3 Pavel Maršík (U),0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys
1,10203,4 Jakub Mádr (U),0,2,2,2008/2009,Floorball Club Falcon,FBC Ressler boys
2,10203,5 Ladislav Tyll (U),1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys
3,10203,7 Jakub Nováček (U),0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys
4,10203,8 Filip Weber (U),1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys
5,10203,9 Roman Žampach (U),1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys
6,10203,10 Petr Škaloud (U),0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys
7,10203,12 Adam Bardún (U),1,1,2,2008/2009,Floorball Club Falcon,FBC Ressler boys
0,10206,3 Pavel Maršík (U),1,0,1,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
1,10206,4 Jakub Mádr (U),0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
2,10206,5 Ladislav Tyll (U),0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
3,10206,7 Jakub Nováček (U),0,2,2,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
4,10206,8 Filip Weber (U),0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
5,10206,9 Roman Žampach (U),0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
6,10206,10 Petr Škaloud (U),0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
7,10206,11 Václav Rides (U),3,0,3,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
8,10206,12 Adam Bardún (U),0,2,2,2008/2009,FBC Kralupy n/V B,FBC Ressler boys
0,12532,2 Zdeněk Máčel (U),1,0,1,2008/2009,FC Bílé Hole,FBC Ressler boys
1,12532,3 Pavel Maršík (U),1,3,4,2008/2009,FC Bílé Hole,FBC Ressler boys
2,12532,4 Jakub Mádr (U),1,0,1,2008/2009,FC Bílé Hole,FBC Ressler boys
3,12532,5 Ladislav Tyll (U),1,1,2,2008/2009,FC Bílé Hole,FBC Ressler boys
4,12532,6 Milan Balzer (U),0,1,1,2008/2009,FC Bílé Hole,FBC Ressler boys
5,12532,8 Filip Weber (U),0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys
6,12532,9 Roman Žampach (U),3,0,3,2008/2009,FC Bílé Hole,FBC Ressler boys
7,12532,11 Václav Rides (U),1,1,2,2008/2009,FC Bílé Hole,FBC Ressler boys
0,12900,2 Zdeněk Máčel (U),0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
1,12900,3 Pavel Maršík (U),1,1,2,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys
