,Id,Player,G,A,PTS,Season,Team_against,Team_for
2,6029,66 Martin Hartl (U),0,0,0,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
3,6029,88 Marek Kuneš (U),0,1,1,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
4,6029,97 Jan Tetiva (U),0,0,0,2008/2009,FBC Ressler boys,FBC Kralupy n/V B
0,6025,4 Petr Vavrečka (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
1,6025,7 Jakub Šára (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
2,6025,9 Štěpán Jaroch (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
3,6025,13 Petr Altman (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
4,6025,27 Jakub Sklenka (U),0,0,0,2008/2009,FBC Ressler boys,FC Bílé Hole
0,6182,8 Jan Pintr (U),0,0,0,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
1,6182,13 Jan Škoda (U),0,2,2,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
2,6182,18 Pavel Pokorný (U),2,0,2,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
3,6182,19 Jaroslav Pokorný (U),0,1,1,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
4,6182,24 Jan Plechata (U),0,0,0,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
5,6182,26 Petr Haspeklo (U),1,0,1,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
6,6182,56 Roman Arnošt (U),1,1,2,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
7,6182,93 Lukáš Menšík (U),0,0,0,2008/2009,FBC Ressler boys,FbK Atom Praha RKČ 
0,6472,2 Pavel Záhora (U),0,0,0,2008/2009,FBC Ressler boys,TBC Horoměřice B
1,6472,4 David Karel (U),1,0,1,2008/2009,FBC Ressler boys,TBC Horoměřice B
