,Id,Period,Time,Type,Goal,Assist,Season
3,17157,2. část,07:53,-,78 Zdeněk Máčel,4 Jakub Mádr,2009/2010
4,17157,2. část,10:12,-,21 Štěpán Trousil,22 Jakub Nováček,2009/2010
5,17157,3. část,00:10,-,21 Štěpán Trousil,11 Václav Rides,2009/2010
0,17158,1. část,10:03,-,78 Zdeněk Máčel,5 Ladislav Tyll,2009/2010
1,17158,2. část,11:52,-,11 Václav Rides,21 Štěpán Trousil,2009/2010
2,17158,3. část,06:11,-,11 Václav Rides,4 Jakub Mádr,2009/2010
3,17158,3. část,06:52,-,48 Roman Žampach,12 Adam Bardún,2009/2010
0,18371,1. část,10:10,-,5 Ladislav Tyll,11 Václav Rides,2009/2010
1,18371,3. část,05:01,-,21 Štěpán Trousil,,2009/2010
2,18371,3. část,08:24,-,7 Miloš Zapadlo,21 Štěpán Trousil,2009/2010
0,18389,2. část,06:17,-,11 Václav Rides,48 Roman Žampach,2009/2010
1,18389,3. část,04:38,-,11 Václav Rides,5 Ladislav Tyll,2009/2010
0,19348,2. část,01:07,-,21 Štěpán Trousil,22 Jakub Nováček,2009/2010
1,19348,3. část,03:47,-,22 Jakub Nováček,,2009/2010
0,19350,1. část,00:57,-,5 Ladislav Tyll,48 Roman Žampach,2009/2010
1,19350,1. část,07:18,-,11 Václav Rides,4 Jakub Mádr,2009/2010
2,19350,1. část,09:50,-,7 Miloš Zapadlo,22 Jakub Nováček,2009/2010
3,19350,2. část,08:34,-,12 Adam Bardún,7 Miloš Zapadlo,2009/2010
4,19350,2. část,11:20,-,11 Václav Rides,48 Roman Žampach,2009/2010
5,19350,3. část,03:46,-,22 Jakub Nováček,12 Adam Bardún,2009/2010
0,21821,1. část,02:33,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2009/2010
1,21821,1. část,05:27,-,11 Václav Rides,5 Ladislav Tyll,2009/2010
2,21821,2. část,02:45,-,11 Václav Rides,48 Roman Žampach,2009/2010
3,21821,2. část,05:09,-,21 Štěpán Trousil,8 Filip Weber,2009/2010
4,21821,3. část,06:23,-,21 Štěpán Trousil,3 Martin Elišák,2009/2010
5,21821,3. část,11:04,-,7 Miloš Zapadlo,21 Štěpán Trousil,2009/2010
0,21824,1. část,07:35,-,8 Filip Weber,48 Roman Žampach,2009/2010
1,21824,1. část,11:14,-,3 Martin Elišák,21 Štěpán Trousil,2009/2010
2,21824,2. část,08:10,-,21 Štěpán Trousil,,2009/2010
3,21824,3. část,11:18,-,7 Miloš Zapadlo,5 Ladislav Tyll,2009/2010
4,21824,3. část,11:54,-,7 Miloš Zapadlo,4 Jakub Mádr,2009/2010
0,23281,3. část,06:11,-,21 Štěpán Trousil,12 Adam Bardún,2009/2010
1,23281,3. část,07:45,-,48 Roman Žampach,5 Ladislav Tyll,2009/2010
0,23278,1. část,11:45,-,5 Ladislav Tyll,,2009/2010
1,23278,3. část,05:47,-,48 Roman Žampach,8 Filip Weber,2009/2010
0,24752,1. část,05:12,PP,5 Ladislav Tyll,22 Jakub Nováček,2009/2010
1,24752,1. část,08:16,-,8 Filip Weber,48 Roman Žampach,2009/2010
2,24752,3. část,03:00,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2009/2010
3,24752,3. část,06:29,-,3 Martin Elišák,21 Štěpán Trousil,2009/2010
0,24754,1. část,10:34,PS,8 Filip Weber,,2009/2010
1,24754,2. část,00:17,-,5 Ladislav Tyll,48 Roman Žampach,2009/2010
0,25954,1. část,06:16,-,11 Václav Rides,7 Miloš Zapadlo,2009/2010
1,25954,2. část,06:31,-,7 Miloš Zapadlo,11 Václav Rides,2009/2010
0,25950,1. část,08:06,PP,22 Jakub Nováček,8 Filip Weber,2009/2010
1,25950,3. část,08:56,-,7 Miloš Zapadlo,,2009/2010
0,27336,1. část,07:23,PP,7 Miloš Zapadlo,3 Martin Elišák,2009/2010
1,27336,1. část,09:16,-,21 Štěpán Trousil,7 Miloš Zapadlo,2009/2010
2,27336,2. část,09:44,PP,3 Martin Elišák,7 Miloš Zapadlo,2009/2010
0,29252,2. část,07:17,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
1,29252,3. část,03:07,-,5 Ladislav Tyll,11 Václav Rides,2010/2011
2,29252,3. část,10:01,-,11 Václav Rides,5 Ladislav Tyll,2010/2011
0,29250,2. část,04:32,-,11 Václav Rides,,2010/2011
1,29250,2. část,08:14,-,7 Miloš Zapadlo,,2010/2011
0,30521,1. část,02:55,-,8 Filip Weber,77 Ctibor Chmelař,2010/2011
1,30521,2. část,08:44,SH,5 Ladislav Tyll,7 Miloš Zapadlo,2010/2011
2,30521,3. část,03:41,-,21 Štěpán Trousil,48 Roman Žampach,2010/2011
0,30518,1. část,04:51,-,77 Filip Weber,,2010/2011
1,30518,2. část,11:42,OG,99 Michal Kováč,,2010/2011
0,31231,1. část,07:03,-,7 Miloš Zapadlo,3 Martin Elišák,2010/2011
1,31231,1. část,10:01,-,48 Roman Žampach,11 Václav Rides,2010/2011
2,31231,1. část,11:04,-,48 Roman Žampach,5 Ladislav Tyll,2010/2011
3,31231,2. část,07:53,-,78 Zdeněk Máčel,21 Štěpán Trousil,2010/2011
4,31231,2. část,09:17,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
5,31231,2. část,11:14,-,48 Roman Žampach,19 Filip Trousil,2010/2011
6,31231,3. část,02:37,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
0,31228,1. část,04:52,-,11 Václav Rides,7 Miloš Zapadlo,2010/2011
1,31228,2. část,09:52,-,11 Václav Rides,5 Ladislav Tyll,2010/2011
2,31228,3. část,00:32,-,78 Zdeněk Máčel,,2010/2011
3,31228,3. část,04:12,-,11 Václav Rides,48 Roman Žampach,2010/2011
4,31228,3. část,07:30,-,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
0,32999,1. část,02:45,-,7 Miloš Zapadlo,3 Martin Elišák,2010/2011
1,32999,1. část,10:04,PP,7 Miloš Zapadlo,21 Štěpán Trousil,2010/2011
