,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season
10,6470,FBC Ressler boys,FC Bourbon SK Praha 4 B,1,2,Lose,neděle 11.01.2009; SH Neratovice,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72008/2009-C058; 12. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"                Player
2  5 Ladislav Tyll (U)","                 Player
8  71 Martin Švehla (U)","                 Player
8  71 Martin Švehla (U)",2008/2009
11,456,FBC Ressler boys,Game Over Praha,3,4,Lose,sobota 07.02.2009; Hamr Braník,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72008/2009-C063; 13. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"               Player
0  3 Pavel Maršík (U)","               Player
5  17 Lukáš Rubeš (U)","               Player
5  17 Lukáš Rubeš (U)",2008/2009
12,8515,FBC Ressler boys,FKMP Praha,1,1,Draw,sobota 07.02.2009; Hamr Braník,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C069; 14. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"                Player
2  5 Ladislav Tyll (U)","                  Player
10  47 Filip Červený (U)","Empty DataFrame
Columns: [Player]
Index: []",2008/2009
13,9641,FBC Ressler boys,FbC Engineers,1,1,Draw,sobota 28.02.2009; SH Štěrboholy,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C071; 15. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"                Player
6  10 Petr Škaloud (U)","               Player
4  9 Jan Slavíček (U)","Empty DataFrame
Columns: [Player]
Index: []",2008/2009
14,9636,FBC Ressler boys,SK B.U.H. Praha B,0,3,Lose,sobota 28.02.2009; SH Štěrboholy,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C076; 16. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2008/2009
15,10203,FBC Ressler boys,Floorball Club Falcon,4,3,Win,sobota 21.03.2009; SH Děkanka,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72008/2009-C083; 17. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"               Player
7  12 Adam Bardún (U)","              Player
8  24 Jakub Ších (U)","               Player
8   24 Jakub Ších (U)
7  12 Adam Bardún (U)",2008/2009
16,10206,FBC Ressler boys,FBC Kralupy n/V B,4,4,Draw,sobota 21.03.2009; SH Děkanka,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C090; 18. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"                Player
7  11 Václav Rides (U)","                Player
3  13 Petr Vrchota (U)","                Player
7  11 Václav Rides (U)",2008/2009
17,12532,FBC Ressler boys,FC Bílé Hole,8,3,Win,neděle 19.04.2009; SH Stochov,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72008/2009-C095; 19. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"               Player
1  3 Pavel Maršík (U)","               Player
4  13 Petr Altman (U)","               Player
1  3 Pavel Maršík (U)",2008/2009
18,12900,FBC Ressler boys,FbK Atom Praha RKČ ,2,3,Lose,neděle 03.05.2009; SH Děkanka,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C105; 21. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"                Player
1   3 Pavel Maršík (U)
7  9 Roman Žampach (U)","                 Player
6  87 Petr Haspeklo (U)","                 Player
1    3 Pavel Maršík (U)
7   9 Roman Žampach (U)
6  87 Petr Haspeklo (U)",2008/2009
19,12904,FBC Ressler boys,TBC Horoměřice B,8,7,Win,neděle 03.05.2009; SH Děkanka,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72008/2009-C109; 22. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"             Player
2  4 Jakub Mádr (U)","                 Player
7  81 Tomáš Kameník (U)","                 Player
7  81 Tomáš Kameník (U)",2008/2009
20,14226,FBC Ressler boys,FBC Start98 B,1,2,Lose,neděle 20.09.2009; SH Stochov,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D002; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kamarád Lukáš, Černý Jan",delegát: ,"                Player
2  5 Ladislav Tyll (U)","                    Player
6  68 Michal Rukavička (U)","                    Player
6  68 Michal Rukavička (U)",2009/2010
21,14224,FBC Ressler boys,FBC Vlci Tatran Kostelec,5,2,Win,neděle 20.09.2009; SH Stochov,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72009/2010-D004; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Černý Ondřej, Černý Jan",delegát: ,"                 Player
9  48 Roman Žampach (U)","               Player
0  2 Daniel Kubát (U)","                 Player
9  48 Roman Žampach (U)
0    2 Daniel Kubát (U)",2009/2010
22,15977,FBC Ressler boys,FBC Vinořská Zvěř,4,6,Lose,neděle 18.10.2009; SH ZŠ Kunratice,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72009/2010-D019; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kněžík Martin, Krupička Jan",delegát: ,"                Player
2  5 Ladislav Tyll (U)","              Player
5  19 Jan Sobota (U)","              Player
5  19 Jan Sobota (U)",2009/2010
23,15986,FBC Ressler boys,Sokol Rudná,6,2,Win,neděle 18.10.2009; SH ZŠ Kunratice,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72009/2010-D016; 4. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Szebinovský Jiří, Čermák Tomáš",delegát: ,"                 Player
9  22 Jakub Nováček (U)","              Player
9  16 Jan Hruška (U)","                 Player
9  22 Jakub Nováček (U)",2009/2010
24,17157,FBC Ressler boys,FBC Žraloci Příbram,6,9,Lose,sobota 31.10.2009; SH Kostelec nad Černými lesy,počet diváků: 0,začátek 16:10; konec ,Utkání: 3XM72009/2010-D028; 5. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Hák Martin, Kudrna Martin",delegát: ,"                Player
2  11 Václav Rides (U)","                Player
6  55 Milan Štěrba (U)","                Player
6  55 Milan Štěrba (U)",2009/2010
25,17158,FBC Ressler boys,Pragsport,4,5,Lose,sobota 31.10.2009; SH Kostelec nad Černými lesy,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72009/2010-D030; 6. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Leibl Filip, Lässler Pavel",delegát: ,"                Player
2  11 Václav Rides (U)","                Player
5   14 Tomáš Vendl (U)
6  17 Jakub Žolčák (U)
7  18 Zdeněk Novák (U)","                Player
2  11 Václav Rides (U)",2009/2010
26,18371,FBC Ressler boys,FbŠ Bohemians BANG team D,3,6,Lose,neděle 22.11.2009; SH Králův Dvůr,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72009/2010-D031; 7. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Hák Martin, Bělej Jaroslav",delegát: ,"                  Player
7  21 Štěpán Trousil (U)","                Player
7  71 Pavel Vlasák (U)","                Player
7  71 Pavel Vlasák (U)",2009/2010
27,18389,FBC Ressler boys,FT Sokol Břevnov B,2,2,Draw,neděle 22.11.2009; SH Králův Dvůr,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72009/2010-D034; 8. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Hák Martin, Kamarád Lukáš",delegát: ,"                Player
6  11 Václav Rides (U)","Empty DataFrame
Columns: [Player]
Index: []","                Player
6  11 Václav Rides (U)",2009/2010
28,19348,FBC Ressler boys,FbK TJ Sokol Žižkov II,2,5,Lose,neděle 06.12.2009; TJ Radlice,počet diváků: 0,začátek 16:10; konec ,Utkání: 3XM72009/2010-D048; 9. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Zima Marek, Müller Jiří",delegát: ,"                  Player
11  22 Jakub Nováček (U)","                Player
1  16 Filip Bělský (U)","                Player
1  16 Filip Bělský (U)",2009/2010
29,19350,FBC Ressler boys,FK Spartak Praha B,6,3,Win,neděle 06.12.2009; TJ Radlice,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72009/2010-D050; 10. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Varga Peter, Blaško Lukáš",delegát: ,"                Player
6  11 Václav Rides (U)","Empty DataFrame
Columns: [Player]
Index: []","                Player
6  11 Václav Rides (U)",2009/2010
30,21084,FBC Ressler boys,FBC Start98 B,0,4,Lose,neděle 10.01.2010; SH ZŠ Kunratice,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72009/2010-D059; 12. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Knap Jan, Kněžík Martin",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","              Player
5  14 Michal Šik (U)","              Player
5  14 Michal Šik (U)",2009/2010
31,21821,FBC Ressler boys,FBC Vlci Tatran Kostelec,6,5,Win,neděle 24.01.2010; Sparta Praha II.,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D062; 13. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Plechata Jan, Cimrman Tomáš",delegát: ,"                  Player
8  21 Štěpán Trousil (U)","               Player
0  2 Daniel Kubát (U)","                  Player
0     2 Daniel Kubát (U)
8  21 Štěpán Trousil (U)",2009/2010
32,21824,FBC Ressler boys,FBC Vinořská Zvěř,5,4,Win,neděle 24.01.2010; Sparta Praha II.,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72009/2010-D065; 14. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Plechata Jan, Cimrman Tomáš",delegát: ,"                Player
3  7 Miloš Zapadlo (U)","                 Player
10  98 Petr Brychta (U)","                 Player
10  98 Petr Brychta (U)",2009/2010
33,23281,FBC Ressler boys,Sokol Rudná,2,6,Lose,neděle 14.02.2010; SH Zličín,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72009/2010-D079; 15. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Zima Marek, Černý Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                   Player
5  15 Miroslav Kaplan (U)","                   Player
5  15 Miroslav Kaplan (U)",2009/2010
34,23278,FBC Ressler boys,FBC Žraloci Příbram,2,2,Draw,neděle 14.02.2010; SH Zličín,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72009/2010-D076; 16. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Keil Robert, Kozák Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2009/2010
35,24752,FBC Ressler boys,Pragsport,4,3,Win,sobota 06.03.2010; Lyceum Drtinova,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D082; 17. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Vašíček Jiří, Plechata Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                Player
6  18 Zdeněk Novák (U)","                Player
6  18 Zdeněk Novák (U)",2009/2010
36,24754,FBC Ressler boys,FbŠ Bohemians BANG team D,2,8,Lose,sobota 06.03.2010; Lyceum Drtinova,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72009/2010-D084; 18. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Leibl Filip, Lässler Pavel",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                Player
4  12 Tomáš Grigar (U)","                Player
4  12 Tomáš Grigar (U)",2009/2010
37,25954,FBC Ressler boys,FT Sokol Břevnov B,2,1,Win,sobota 27.03.2010; SH Zličín,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D092; 19. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Flek Václav, Veverka Aleš",delegát: ,"                Player
3  7 Miloš Zapadlo (U)
5  11 Václav Rides (U)","                 Player
8  50 Lukáš Fietzek (U)","                Player
3  7 Miloš Zapadlo (U)
5  11 Václav Rides (U)",2009/2010
38,25950,FBC Ressler boys,FbK TJ Sokol Žižkov II,2,4,Lose,sobota 27.03.2010; SH Zličín,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72009/2010-D095; 20. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kuška Petr, Vojtěch Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                Player
0  16 Filip Bělský (U)","                Player
0  16 Filip Bělský (U)",2009/2010
39,27336,FBC Ressler boys,FK Spartak Praha B,3,9,Lose,neděle 25.04.2010; SH Stochov,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72009/2010-D101; 21. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kněžík Martin, Knap Jan",delegát: ,"                Player
3  7 Miloš Zapadlo (U)","              Player
3  13 Tomáš Růta (U)","              Player
3  13 Tomáš Růta (U)",2009/2010
40,29252,FBC Ressler boys,FBC Falcons Žižkov,3,3,Draw,neděle 19.09.2010; TJ Radlice,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72010/2011-G002; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Paldus Šimon, Hrdlička Jan",delegát: ,"                Player
2  5 Ladislav Tyll (U)
5  11 Václav Rides (U)","                  Player
7  42 Štěpán Pavelka (U)","                  Player
7  42 Štěpán Pavelka (U)",2010/2011
41,29250,FBC Ressler boys,FBK Sokol Vlašim,2,2,Draw,neděle 19.09.2010; TJ Radlice,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72010/2011-G004; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Paldus Šimon, Hrdlička Jan",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","             Player
9  87 Jan Bašta (U)","             Player
9  87 Jan Bašta (U)",2010/2011
