,Id,Period,Time,Player,TM,Foul,Season
3,19348,3. část,01:44,27 David Taufer,2,920 hra rukou,2009/2010
4,19348,3. část,07:08,42 Alexandr Kettner,2,925 nesportovní chování,2009/2010
0,19350,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,21084,3. část,08:30,14 Michal Šik,2,902 blokování hokejky,2009/2010
0,21821,3. část,07:46,32 Jiří Novák,2,915 nedovolená vzdálenost,2009/2010
0,21824,2. část,03:22,22 Karel Sita,2,923 opakované přestupky,2009/2010
1,21824,3. část,08:25,72 Michal Zítek,2,909 hrubost,2009/2010
0,23281,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,23278,2. část,03:35,3 Jan Čížek,2,919 hra na zemi,2009/2010
0,24752,1. část,04:03,14 Tomáš Vendl,2,909 hrubost,2009/2010
1,24752,3. část,05:06,10 Jan Kůs,2,920 hra rukou,2009/2010
0,24754,1. část,05:54,7 Jan Vážný,2,907 nedovolené vrážení,2009/2010
0,25954,1. část,02:45,21 Milan Kouba,2,909 hrubost,2009/2010
1,25954,2. část,07:36,50 Lukáš Fietzek,2,909 hrubost,2009/2010
2,25954,3. část,08:04,39 Adam Pažout,2,922 špatné střídání,2009/2010
0,25950,1. část,06:49,79 Jakub Trmota,2,923 opakované přestupky,2009/2010
1,25950,3. část,06:34,16 Filip Bělský,2,909 hrubost,2009/2010
0,27336,1. část,05:32,12 Michal Tuma,2,919 hra na zemi,2009/2010
1,27336,2. část,08:39,16 Petr Janský,2,903 nadzvedávání hokejky,2009/2010
2,27336,2. část,09:09,88 Martin Staněk,2,923 opakované přestupky,2009/2010
0,29252,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,29250,3. část,09:26,87 Jan Bašta,2,909 hrubost,2010/2011
0,30521,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,30518,1. část,07:30,45 Martin Kašík,2,911 bránění ve hře,2010/2011
0,31231,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,31228,2. část,03:38,23 Filip Kraus,2,902 blokování hokejky,2010/2011
0,32999,1. část,08:07,33 Rudolf Kovář,2,901 sekání,2010/2011
1,32999,3. část,10:03,41 Karel Kovács,2,925 nesportovní chování,2010/2011
0,32921,2. část,11:52,53 Jan Kouba,2,919 hra na zemi,2010/2011
0,34411,1. část,04:38,7 Vojtěch Bienek,2,911 bránění ve hře,2010/2011
1,34411,1. část,10:50,22 Radek Pavel,2,923 opakované přestupky,2010/2011
2,34411,2. část,09:47,7 Vojtěch Bienek,2,915 nedovolená vzdálenost,2010/2011
0,35918,1. část,01:40,17 Petr Káda,2,907 nedovolené vrážení,2010/2011
0,35915,1. část,05:27,10 Oldřich Jarmar,2,902 blokování hokejky,2010/2011
1,35915,3. část,07:31,12 Jan Švejda,2,901 sekání,2010/2011
0,38225,2. část,07:37,10 Jan Kadlec,2,911 bránění ve hře,2010/2011
0,38223,2. část,05:55,28 Petr Klíma,2,921 hra hlavou,2010/2011
0,28904,3. část,09:51,23 Filip Kraus,2,902 blokování hokejky,2010/2011
0,29832,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
0,40660,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2010/2011
