,Id,Player,G,A,PTS,Season,Team_against,Team_for
3,295536,11 Petr Sukalovský (U),1,0,1,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
4,295536,12 Tomáš Štumf (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
5,295536,22 Jaroslav Drahotínský (O),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
6,295536,23 Martin Bosák (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
7,295536,30 Andrej Lipan (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
8,295536,71 Josef Kostelecký (O),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
9,295536,91 Marek Pukl (U),1,0,1,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
10,295536,92 Jakub Vilim (U),1,0,1,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
11,295536,99 Petr Zahradník (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
0,293079,3 Aleš Martínek (O),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
1,293079,6 Šimon Smrček (O),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
2,293079,11 Petr Sukalovský (U),1,1,2,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
3,293079,12 Tomáš Štumf (U),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
4,293079,22 Jaroslav Drahotínský (O),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
5,293079,23 Martin Bosák (U),1,1,2,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
6,293079,30 Andrej Lipan (U),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
7,293079,71 Josef Kostelecký (O),1,0,1,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
8,293079,91 Marek Pukl (U),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
9,293079,92 Jakub Vilim (U),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
10,293079,96 Tomáš Virba (O),0,0,0,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
11,293079,99 Petr Zahradník (U),0,1,1,2021/2022,TJ Jiskra Zruč nad Sázavou,FBC Mobydick Praha
0,301969,3 Aleš Martínek (O),0,0,0,2021/2022,Vlci TATRAN Kostelec nad Č.L.,FBC Mobydick Praha
