GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Filip Trousil,785,192,6804,1703,918,4.09,8.67
 Ctibor Chmelař,155,39,1575,1170,1015,3.97,10.16
 Vojtěch Bíba,71,12,432,0,-71,5.92,6.08
 Pavel Malý,3,2,36,0,-3,-,-
 Lukáš Adámek,18,1,36,0,-18,-,-
 Zdeněk Máčel,4,1,45,30,26,-,-
