GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Ondřej Havelka,2,1,36,0,-2,-,-
 Jindřich Buša,0,1,36,0,0,-,-
 Nick Štíbr,0,1,12,0,0,-,-
 Jan Merta,4,1,36,0,-4,-,-
 Miroslav Čačka,1,1,45,30,29,-,-
 Miroslav Mynář,4,1,36,0,-4,-,-
 Michal Šnobl,6,1,36,0,-6,-,-
 Michal Dostál,7,1,36,30,23,-,-
 Jan Selinger,4,1,36,0,-4,-,-
 Jan Čebiš,3,1,36,0,-3,-,-
 Jan Čermák,5,1,36,30,25,-,-
 Michal Myšík,2,1,36,0,-2,-,-
 Ondřej Martinovský,8,1,45,30,22,-,-
 Ondřej Pomahač,2,1,36,0,-2,-,-
 Ondřej Puritscher,1,1,36,0,-1,-,-
 Jakub Černý,3,1,36,30,27,-,-
 Petr Kaša,1,1,36,0,-1,-,-
 Petr Janata,0,1,0,0,0,-,-
 Jakub Vobořil,5,1,36,30,25,-,-
 Petr Brabač,2,1,36,0,-2,-,-
 Jakub Záhora,2,1,36,0,-2,-,-
 Pavel Soukup,2,1,36,30,28,-,-
 Pavel Machačka,0,1,0,0,0,-,-
 Martin Škopek,0,1,0,0,0,-,-
 Jakub Šebela,2,1,45,30,28,-,-
 Lukáš Burian,4,1,36,30,26,-,-
 Pavel Bartůněk,3,1,36,0,-3,-,-
 Jan Dechet,2,1,36,0,-2,-,-
 Patrik Dvořák,6,1,36,30,24,-,-
 Jan Doskočil,0,1,0,0,0,-,-
 Pavel Dundr,1,1,36,0,-1,-,-
