,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
12,8515,FBC Ressler boys,FKMP Praha,1,1,Draw,sobota 07.02.2009; Hamr Braník,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C069; 14. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Ladislav Tyll,                    Filip Červený,"Empty DataFrame
Columns: [Player]
Index: []",2008/2009,07.02.2009, Hamr Braník,sobota, , , PH+SČ soutěž mužů
13,9641,FBC Ressler boys,FbC Engineers,1,1,Draw,sobota 28.02.2009; SH Štěrboholy,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C071; 15. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Petr Škaloud,                 Jan Slavíček,"Empty DataFrame
Columns: [Player]
Index: []",2008/2009,28.02.2009, SH Štěrboholy,sobota, , , PH+SČ soutěž mužů
14,9636,FBC Ressler boys,SK B.U.H. Praha B,0,3,Lose,sobota 28.02.2009; SH Štěrboholy,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C076; 16. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2008/2009,28.02.2009, SH Štěrboholy,sobota, , , PH+SČ soutěž mužů
15,10203,FBC Ressler boys,Floorball Club Falcon,4,3,Win,sobota 21.03.2009; SH Děkanka,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72008/2009-C083; 17. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Adam Bardún,                Jakub Ších,                  Jakub Ších  Adam Bardún,2008/2009,21.03.2009, SH Děkanka,sobota, , , PH+SČ soutěž mužů
16,10206,FBC Ressler boys,FBC Kralupy n/V B,4,4,Draw,sobota 21.03.2009; SH Děkanka,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C090; 18. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Václav Rides,                  Petr Vrchota,                  Václav Rides,2008/2009,21.03.2009, SH Děkanka,sobota, , , PH+SČ soutěž mužů
17,12532,FBC Ressler boys,FC Bílé Hole,8,3,Win,neděle 19.04.2009; SH Stochov,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72008/2009-C095; 19. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Pavel Maršík,                 Petr Altman,                 Pavel Maršík,2008/2009,19.04.2009, SH Stochov,neděle, , , PH+SČ soutěž mužů
18,12900,FBC Ressler boys,FbK Atom Praha RKČ ,2,3,Lose,neděle 03.05.2009; SH Děkanka,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C105; 21. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                   Pavel Maršík  Roman Žampach,                   Petr Haspeklo,                     Pavel Maršík   Roman Žampach  Petr Haspeklo,2008/2009,03.05.2009, SH Děkanka,neděle, , , PH+SČ soutěž mužů
19,12904,FBC Ressler boys,TBC Horoměřice B,8,7,Win,neděle 03.05.2009; SH Děkanka,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72008/2009-C109; 22. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,               Jakub Mádr,                   Tomáš Kameník,                   Tomáš Kameník,2008/2009,03.05.2009, SH Děkanka,neděle, , , PH+SČ soutěž mužů
20,14226,FBC Ressler boys,FBC Start98 B,1,2,Lose,neděle 20.09.2009; SH Stochov,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72009/2010-D002; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kamarád Lukáš, Černý Jan",delegát: ,                  Ladislav Tyll,                      Michal Rukavička,                      Michal Rukavička,2009/2010,20.09.2009, SH Stochov,neděle, Kamarád Lukáš, Černý Jan, PH+SČ soutěž mužů
21,14224,FBC Ressler boys,FBC Vlci Tatran Kostelec,5,2,Win,neděle 20.09.2009; SH Stochov,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72009/2010-D004; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Černý Ondřej, Černý Jan",delegát: ,                   Roman Žampach,                 Daniel Kubát,                   Roman Žampach    Daniel Kubát,2009/2010,20.09.2009, SH Stochov,neděle, Černý Ondřej, Černý Jan, PH+SČ soutěž mužů
22,15977,FBC Ressler boys,FBC Vinořská Zvěř,4,6,Lose,neděle 18.10.2009; SH ZŠ Kunratice,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72009/2010-D019; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Kněžík Martin, Krupička Jan",delegát: ,                  Ladislav Tyll,                Jan Sobota,                Jan Sobota,2009/2010,18.10.2009, SH ZŠ Kunratice,neděle, Kněžík Martin, Krupička Jan, PH+SČ soutěž mužů
23,15986,FBC Ressler boys,Sokol Rudná,6,2,Win,neděle 18.10.2009; SH ZŠ Kunratice,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72009/2010-D016; 4. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Szebinovský Jiří, Čermák Tomáš",delegát: ,                   Jakub Nováček,                Jan Hruška,                   Jakub Nováček,2009/2010,18.10.2009, SH ZŠ Kunratice,neděle, Szebinovský Jiří, Čermák Tomáš, PH+SČ soutěž mužů
24,17157,FBC Ressler boys,FBC Žraloci Příbram,6,9,Lose,sobota 31.10.2009; SH Kostelec nad Černými lesy,počet diváků: 0,začátek 16:10; konec ,Utkání: 3XM72009/2010-D028; 5. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Hák Martin, Kudrna Martin",delegát: ,                  Václav Rides,                  Milan Štěrba,                  Milan Štěrba,2009/2010,31.10.2009, SH Kostelec nad Černými lesy,sobota, Hák Martin, Kudrna Martin, PH+SČ soutěž mužů
25,17158,FBC Ressler boys,Pragsport,4,5,Lose,sobota 31.10.2009; SH Kostelec nad Černými lesy,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72009/2010-D030; 6. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Leibl Filip, Lässler Pavel",delegát: ,                  Václav Rides,                   Tomáš Vendl  Jakub Žolčák  Zdeněk Novák,                  Václav Rides,2009/2010,31.10.2009, SH Kostelec nad Černými lesy,sobota, Leibl Filip, Lässler Pavel, PH+SČ soutěž mužů
26,18371,FBC Ressler boys,FbŠ Bohemians BANG team D,3,6,Lose,neděle 22.11.2009; SH Králův Dvůr,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72009/2010-D031; 7. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: Hák Martin, Bělej Jaroslav",delegát: ,                    Štěpán Trousil,                  Pavel Vlasák,                  Pavel Vlasák,2009/2010,22.11.2009, SH Králův Dvůr,neděle, Hák Martin, Bělej Jaroslav, PH+SČ soutěž mužů
