,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,15977,2,01:11,-, Jan Sobota, Jakub Podhorný,2009/2010,1,11,71
1,15977,2,10:07,-, Roman Šeiner, Jan Kněžínek,2009/2010,10,7,607
2,15977,3,01:01,-, Jan Sobota, Jakub Podhorný,2009/2010,1,1,61
3,15977,3,06:54,PP, Jan Sobota, Radek Tázler,2009/2010,6,54,414
4,15977,3,11:25,-, Jan Sobota, Michal Zítek,2009/2010,11,25,685
5,15977,3,11:54,-, Petr Brychta, Karel Sita,2009/2010,11,54,714
0,15986,1,00:22,-, Martin Tuček, Jan Hruška,2009/2010,0,22,22
1,15986,1,03:01,SH, Jan Hruška, Lukáš Koťátko,2009/2010,3,1,181
0,17157,1,00:41,-, Ota Hauptmann,,2009/2010,0,41,41
1,17157,1,09:40,-, Milan Štěrba, Jakub Dvořák,2009/2010,9,40,580
2,17157,2,02:18,-, Jan Čížek,,2009/2010,2,18,138
3,17157,3,01:20,-, Milan Štěrba, Jakub Dvořák,2009/2010,1,20,80
4,17157,3,05:08,-, David Mráz, Jan Čížek,2009/2010,5,8,308
5,17157,3,06:40,-, Milan Štěrba, Jakub Dvořák,2009/2010,6,40,400
6,17157,3,06:53,-, David Mráz,,2009/2010,6,53,413
7,17157,3,09:17,-, Milan Štěrba, Hynek Hampl,2009/2010,9,17,557
8,17157,3,11:12,-, Jan Čížek, Martin Kalous,2009/2010,11,12,672
0,17158,1,05:52,-, Jakub Stárek,,2009/2010,5,52,352
1,17158,2,09:40,PP, Zdeněk Novák, Jakub Žolčák,2009/2010,9,40,580
2,17158,3,04:47,-, Jakub Žolčák, Zdeněk Novák,2009/2010,4,47,287
3,17158,3,05:13,-, Jan Papoušek, Tomáš Vendl,2009/2010,5,13,313
4,17158,3,08:30,SH, Tomáš Vendl, Jan Tichý,2009/2010,8,30,510
0,18371,1,02:24,-, Michal Černý, Pavel Vlasák,2009/2010,2,24,144
1,18371,1,03:13,-, Lukáš Fulín, Jan Vážný,2009/2010,3,13,193
2,18371,2,10:47,-, Adam Podrázský, Michal Černý,2009/2010,10,47,647
3,18371,2,11:01,-, Pavel Vlasák, David Hofmann,2009/2010,11,1,661
4,18371,3,02:02,-, Jan Vážný,,2009/2010,2,2,122
5,18371,3,05:07,-, Pavel Vlasák,,2009/2010,5,7,307
