,Id,Period,Time,Player,TM,Foul,Season
1,56541,2. část,05:36, Martin Elišák,2,923 opakované přestupky,2011/2012
2,56541,3. část,01:53, Martin Elišák,2,901 sekání,2011/2012
3,56541,3. část,08:40, Ladislav Tyll,2,925 nesportovní chování,2011/2012
4,56541,3. část,09:21, Roman Žampach,2,904 vysoká hokejka,2011/2012
5,56541,3. část,10:03, Štěpán Trousil,2,907 nedovolené vrážení,2011/2012
6,56541,3. část,10:40, Martin Elišák,2,902 blokování hokejky,2011/2012
0,58485,1. část,03:38, Zdeněk Máčel,2,902 blokování hokejky,2011/2012
1,58485,3. část,04:45, Jakub Mádr,2,911 bránění ve hře,2011/2012
0,58483,1. část,11:51, Miloš Zapadlo,2,909 hrubost,2011/2012
0,59987,2. část,03:26, Ladislav Tyll,2,911 bránění ve hře,2011/2012
1,59987,3. část,01:44, Roman Žampach,2,923 opakované přestupky,2011/2012
2,59987,3. část,06:29, Jakub Mádr,2,911 bránění ve hře,2011/2012
0,59990,2. část,03:52, Jakub Nováček,2,911 bránění ve hře,2011/2012
1,59990,3. část,03:06, Štěpán Trousil,2,904 vysoká hokejka,2011/2012
2,59990,3. část,10:44, Adam Bardún,2,922 špatné střídání,2011/2012
0,61490,1. část,09:20, Adam Štefánik,2,907 nedovolené vrážení,2011/2012
1,61490,3. část,02:59, Martin Elišák,2,902 blokování hokejky,2011/2012
2,61490,3. část,11:43, Štěpán Trousil,2,907 nedovolené vrážení,2011/2012
0,64575,2. část,02:41, Miloš Zapadlo,2,925 nesportovní chování,2012/2013
1,64575,3. část,00:51, Adam Jablonský,2,902 blokování hokejky,2012/2013
2,64575,3. část,10:51, Martin Elišák,2,923 opakované přestupky,2012/2013
0,64573,2. část,11:50, Ctibor Chmelař,2,923 opakované přestupky,2012/2013
1,64573,3. část,01:28, Adam Jablonský,2,911 bránění ve hře,2012/2013
2,64573,3. část,06:30, Zdeněk Karásek,2,919 hra na zemi,2012/2013
3,64573,3. část,07:48, Jakub Mádr,2,919 hra na zemi,2012/2013
0,66191,2. část,02:33, Martin Elišák,2,901 sekání,2012/2013
1,66191,2. část,06:49, Zdeněk Karásek,2,909 hrubost,2012/2013
2,66191,2. část,11:18, Ladislav Tyll,2,923 opakované přestupky,2012/2013
3,66191,3. část,02:47, Roman Žampach,2,923 opakované přestupky,2012/2013
0,66193,1. část,04:55, Miloš Zapadlo,2,909 hrubost,2012/2013
1,66193,3. část,00:48, Martin Elišák,2,909 hrubost,2012/2013
0,67676,2. část,05:13, Filip Weber,2,901 sekání,2012/2013
1,67676,3. část,10:25, Zdeněk Karásek,2,901 sekání,2012/2013
0,67674,1. část,05:30, Filip Trousil,2,925 nesportovní chování,2012/2013
0,69442,3. část,01:23, Miloš Zapadlo,2,923 opakované přestupky,2012/2013
1,69442,3. část,11:40, Miloš Zapadlo,2,911 bránění ve hře,2012/2013
0,69398,1. část,05:29, Ctibor Chmelař,2,902 blokování hokejky,2012/2013
1,69398,3. část,00:00, Martin Elišák,2,915 nedovolená vzdálenost,2012/2013
0,69401,3. část,06:49, Štěpán Trousil,2,909 hrubost,2012/2013
1,69401,3. část,09:21, Zdeněk Karásek,2,920 hra rukou,2012/2013
0,72096,1. část,03:41, Štěpán Trousil,2,925 nesportovní chování,2012/2013
1,72096,2. část,11:46, Zdeněk Karásek,2,901 sekání,2012/2013
2,72096,3. část,05:46, Roman Žampach,2,902 blokování hokejky,2012/2013
3,72096,3. část,11:44, Jakub Majerčin,2,923 opakované přestupky,2012/2013
0,73820,1. část,04:36, Martin Elišák,2,923 opakované přestupky,2012/2013
1,73820,3. část,08:54, Jakub Majerčin,2,923 opakované přestupky,2012/2013
0,73818,3. část,03:31, Roman Žampach,2,925 nesportovní chování,2012/2013
1,73818,3. část,03:31, Roman Žampach,2,907 nedovolené vrážení,2012/2013
0,76508,1. část,03:33, Štěpán Trousil,2,901 sekání,2012/2013
0,76505,2. část,06:38, Štěpán Trousil,5,904 vysoká hokejka,2012/2013
1,76505,2. část,10:22, Ladislav Tyll,2,902 blokování hokejky,2012/2013
0,77839,2. část,10:10, Martin Elišák,2,923 opakované přestupky,2012/2013
0,79499,2. část,09:51, Jakub Majerčin,2,901 sekání,2012/2013
1,79499,3. část,07:11, Štěpán Trousil,2,923 opakované přestupky,2012/2013
2,79499,3. část,09:42, Miloš Zapadlo,2,904 vysoká hokejka,2012/2013
0,79497,1. část,08:30, Štěpán Trousil,2,919 hra na zemi,2012/2013
1,79497,3. část,06:36, Jakub Majerčin,2,925 nesportovní chování,2012/2013
2,79497,3. část,08:21, Jakub Nováček,2,925 nesportovní chování,2012/2013
3,79497,3. část,08:21, Jakub Nováček,10,925 nesportovní chování,2012/2013
0,83399,3. část,04:25, Jakub Nováček,2,901 sekání,2013/2014
0,83412,1. část,11:38, Ctibor Chmelař,2,901 sekání,2013/2014
0,84452,3. část,08:40, Filip Weber,2,923 opakované přestupky,2013/2014
0,84460,1. část,06:19, Zdeněk Máčel,2,915 nedovolená vzdálenost,2013/2014
1,84460,2. část,07:23, Ladislav Tyll,2,902 blokování hokejky,2013/2014
2,84460,3. část,09:56, Ctibor Chmelař,2,901 sekání,2013/2014
3,84460,3. část,11:18, Ladislav Tyll,2,901 sekání,2013/2014
0,87600,2. část,05:12, Roman Žampach,2,901 sekání,2013/2014
1,87600,3. část,05:17, Jakub Mádr,5,902 blokování hokejky,2013/2014
2,87600,3. část,11:48, Miloš Zapadlo,2,925 nesportovní chování,2013/2014
0,88227,1. část,10:44, Ctibor Chmelař,2,901 sekání,2013/2014
1,88227,3. část,00:19, Martin Elišák,2,901 sekání,2013/2014
2,88227,3. část,08:39, Ladislav Tyll,2,901 sekání,2013/2014
0,88234,1. část,10:01, Miloš Zapadlo,2,901 sekání,2013/2014
1,88234,2. část,09:24, Ladislav Tyll,2,901 sekání,2013/2014
2,88234,3. část,00:35, Jakub Mádr,2,919 hra na zemi,2013/2014
3,88234,3. část,10:23, Zdeněk Karásek,2,911 bránění ve hře,2013/2014
0,91900,3. část,02:54, Michal Slavík,2,923 opakované přestupky,2013/2014
0,91905,1. část,02:29, Michal Rosí,2,923 opakované přestupky,2013/2014
