,Id,Player,G,A,PTS,Season,Team_against,Team_for
9,300872,56 Michal Velechovský (U),0,1,1,2021/2022,FBC Ressler boys,Orka Čelákovice C
10,300872,76 Jiří Marvan (U),1,1,2,2021/2022,FBC Ressler boys,Orka Čelákovice C
0,300871,3 Václav Sládek (U),0,1,1,2021/2022,FBC Ressler boys,FBC Merkur Praha
1,300871,5 Stanislav Heřman (U),0,0,0,2021/2022,FBC Ressler boys,FBC Merkur Praha
2,300871,7 Lubomír Mrazík (U),2,0,2,2021/2022,FBC Ressler boys,FBC Merkur Praha
3,300871,10 Filip Kraus (U),0,0,0,2021/2022,FBC Ressler boys,FBC Merkur Praha
4,300871,12 Pavel Klemera (O),1,1,2,2021/2022,FBC Ressler boys,FBC Merkur Praha
5,300871,15 Ondřej Hošek (U),1,0,1,2021/2022,FBC Ressler boys,FBC Merkur Praha
6,300871,19 Tomáš Votrubec (U),1,0,1,2021/2022,FBC Ressler boys,FBC Merkur Praha
7,300871,68 Lukáš Kouba (U),0,1,1,2021/2022,FBC Ressler boys,FBC Merkur Praha
8,300871,81 Ondřej Lukeš (U),1,0,1,2021/2022,FBC Ressler boys,FBC Merkur Praha
9,300871,88 Jan Chudoba (U),0,0,0,2021/2022,FBC Ressler boys,FBC Merkur Praha
10,300871,91 Miroslav Dobš (U),0,3,3,2021/2022,FBC Ressler boys,FBC Merkur Praha
